ConocoPhillips Price to Free Cash Flow Ratio Historical Data,ConocoPhillips Price to Free Cash Flow Ratio Historical Data,ConocoPhillips Price to Free Cash Flow Ratio Historical Data,ConocoPhillips Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,113.79,,13.96
2024-06-30,113.57,$8.15,13.94
2024-03-31,125.38,$7.45,16.83
2023-12-31,113.54,$7.75,14.64
2023-09-30,116.6,$8.97,13.01
2023-06-30,99.91,$11.77,8.49
2023-03-31,94.62,$15.88,5.96
2022-12-31,111.35,$16.92,6.58
2022-09-30,95.64,$17.68,5.41
2022-06-30,82.42,$15.39,5.35
2022-03-31,90.69,$12.61,7.19
2021-12-31,64.95,$10.03,6.47
2021-09-30,60.44,$6.67,9.05
2021-06-30,53.89,$3.30,16.31
2021-03-31,46.51,$1.04,44.79
2020-12-31,34.79,$1.30,26.71
2020-09-30,28.21,$2.00,14.13
2020-06-30,35.72,$4.87,7.33
2020-03-31,25.93,$6.36,4.07
2019-12-31,54.36,$6.66,8.16
2019-09-30,47.26,$7.81,6.05
2019-06-30,50.34,$6.81,7.39
2019-03-31,54.81,$6.53,8.39
2018-12-31,50.97,$6.18,8.25
2018-09-30,63.01,$4.59,13.72
2018-06-30,56.45,$5.57,10.13
2018-03-31,47.88,$13.57,3.53
2017-12-31,44.08,$13.39,3.29
2017-09-30,39.98,$13.61,2.94
2017-06-30,34.9,$11.33,3.08
2017-03-31,39.37,$2.36,16.67
2016-12-31,39.38,$0.66,59.81
2016-09-30,33.94,$0.48,70.44
2016-06-30,33.84,$-0.02,0.0
2016-03-31,31.07,$-0.56,0.0
2015-12-31,35.75,$-0.42,0.0
2015-09-30,36.23,$-2.40,0.0
2015-06-30,45.77,$-1.71,0.0
2015-03-31,45.88,$-2.01,0.0
2014-12-31,50.35,$0.87,57.71
2014-09-30,55.23,$7.42,7.44
2014-06-30,61.35,$7.72,7.95
2014-03-31,49.9,$8.73,5.71
2013-12-31,49.59,$8.73,5.68
2013-09-30,48.32,$3.63,13.32
2013-06-30,41.62,$3.45,12.08
2013-03-31,40.91,$2.37,17.27
2012-12-31,39.03,$1.50,25.99
2012-09-30,38.04,$4.05,9.4
2012-06-30,36.75,$5.23,7.03
2012-03-31,37.92,$8.58,4.42
2011-12-31,36.03,$8.03,4.49
2011-09-30,31.0,$10.47,2.96
2011-06-30,36.49,$14.27,2.56
2011-03-31,38.41,$16.38,2.35
2010-12-31,32.47,$16.52,1.97
2010-09-30,27.14,$13.03,2.08
2010-06-30,22.96,$8.11,2.83
2010-03-31,23.68,$3.29,7.21
2009-12-31,23.4,$1.93,12.13
