Prudential Financial Price to Free Cash Flow Ratio Historical Data,Prudential Financial Price to Free Cash Flow Ratio Historical Data,Prudential Financial Price to Free Cash Flow Ratio Historical Data,Prudential Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,121.16,,4.86
2024-06-30,115.86,$24.92,4.65
2024-03-31,114.8,$28.69,4.0
2023-12-31,100.2,$17.86,5.61
2023-09-30,90.48,$13.19,6.86
2023-06-30,82.98,$16.85,4.92
2023-03-31,76.66,$17.50,4.38
2022-12-31,91.03,$13.85,6.57
2022-09-30,77.64,$23.98,3.24
2022-06-30,85.56,$26.47,3.23
2022-03-31,104.44,$33.42,3.12
2021-12-31,94.68,$25.15,3.76
2021-09-30,91.05,$5.45,16.69
2021-06-30,87.72,$-10.32,0.0
2021-03-31,77.15,$-24.32,0.0
2020-12-31,65.19,$21.14,3.08
2020-09-30,52.29,$41.91,1.25
2020-06-30,49.35,$61.81,0.8
2020-03-31,41.44,$77.57,0.53
2019-12-31,73.65,$47.76,1.54
2019-09-30,69.92,$64.94,1.08
2019-06-30,77.57,$55.35,1.4
2019-03-31,69.85,$52.88,1.32
2018-12-31,61.34,$50.83,1.21
2018-09-30,75.46,$34.85,2.17
2018-06-30,69.01,$35.69,1.93
2018-03-31,75.75,$32.46,2.33
2017-12-31,83.42,$30.87,2.7
2017-09-30,76.61,$15.08,5.08
2017-06-30,77.35,$30.12,2.57
2017-03-31,75.76,$37.06,2.04
2016-12-31,73.4,$37.86,1.94
2016-09-30,57.19,$61.18,0.93
2016-03-31,49.68,$32.30,1.54
2015-12-31,55.4,$30.28,1.83
2015-09-30,51.45,$37.11,1.39
2015-06-30,58.66,$24.55,2.39
2015-03-31,53.47,$41.55,1.29
2014-12-31,59.8,$37.26,1.6
2016-06-30,49.51,$30.10,1.64
2014-09-30,57.74,$31.07,1.86
2014-06-30,57.93,$24.95,2.32
2014-03-31,54.89,$22.04,2.49
2013-12-31,59.42,$18.24,3.26
2013-09-30,49.95,$30.99,1.61
2013-06-30,46.54,$37.06,1.26
2013-03-31,37.37,$43.44,0.86
2012-12-31,33.55,$44.67,0.75
2012-09-30,33.2,$28.51,1.16
2012-06-30,29.5,$27.62,1.07
2012-03-31,38.61,$22.44,1.72
2011-12-31,30.52,$25.33,1.21
2011-09-30,27.71,$26.15,1.06
2011-06-30,37.61,$18.83,2.0
2011-03-31,36.42,$18.39,1.98
2010-12-31,34.72,$13.76,2.52
2010-09-30,31.37,$12.64,2.48
2010-06-30,31.07,$9.76,3.18
2010-03-31,35.03,$6.93,5.06
2009-12-31,28.81,$13.03,2.21
