Dover Price to Free Cash Flow Ratio Historical Data,Dover Price to Free Cash Flow Ratio Historical Data,Dover Price to Free Cash Flow Ratio Historical Data,Dover Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,186.03,,14.74
2024-06-30,179.95,$12.62,14.26
2024-03-31,176.7,$12.04,14.68
2023-12-31,152.91,$8.17,18.73
2023-09-30,138.19,$6.90,20.02
2023-06-30,145.76,$5.86,24.88
2023-03-31,149.44,$5.65,26.46
2022-12-31,132.73,$4.11,32.26
2022-09-30,113.86,$4.05,28.14
2022-06-30,118.02,$4.73,24.95
2022-03-31,152.07,$5.34,28.47
2021-12-31,175.46,$6.55,26.79
2021-09-30,149.8,$7.23,20.72
2021-06-30,144.67,$7.19,20.13
2021-03-31,131.3,$7.30,17.98
2020-12-31,120.4,$6.51,18.5
2020-09-30,102.91,$6.04,17.03
2020-06-30,91.31,$6.08,15.03
2020-03-31,78.98,$5.53,14.29
2019-12-31,107.95,$5.19,20.81
2019-09-30,92.84,$5.23,17.76
2019-06-30,92.94,$4.56,20.38
2019-03-31,86.55,$4.19,20.66
2018-12-31,65.12,$4.10,15.87
2018-09-30,81.25,$3.52,23.06
2018-06-30,66.81,$3.44,19.43
2018-03-31,71.64,$3.28,21.87
2017-12-31,73.33,$3.68,19.9
2017-09-30,66.03,$3.01,21.95
2017-06-30,57.64,$2.91,19.78
2017-03-31,57.43,$3.51,16.35
2016-12-31,53.26,$3.90,13.67
2016-09-30,52.02,$4.68,11.13
2016-06-30,48.68,$5.05,9.63
2016-03-31,44.89,$5.04,8.92
2015-12-31,42.49,$5.09,8.36
2015-09-30,39.37,$5.70,6.9
2015-06-30,47.99,$5.68,8.44
2015-03-31,47.02,$5.42,8.68
2014-12-31,48.52,$4.73,10.26
2014-09-30,54.08,$4.49,12.04
2014-06-30,60.96,$4.31,14.14
2014-03-31,54.56,$4.75,11.49
2013-12-31,53.42,$4.97,10.76
2013-09-30,49.51,$4.73,10.47
2013-06-30,42.61,$4.55,9.37
2013-03-31,39.81,$4.21,9.46
2012-12-31,35.72,$4.52,7.91
2012-09-30,32.16,$3.61,8.91
2012-06-30,28.81,$4.06,7.1
2012-03-31,33.64,$3.83,8.79
2011-12-31,30.88,$3.68,8.39
2011-09-30,24.64,$4.39,5.61
2011-06-30,35.65,$3.37,10.59
2011-03-31,34.42,$0.45,76.11
2010-12-31,30.47,$0.98,30.98
2010-09-30,27.08,$0.56,48.71
2010-06-30,21.55,$0.82,26.42
2009-12-31,21.2,$3.49,6.07
2009-09-30,19.63,$2.87,6.84
