Nasdaq Price to Free Cash Flow Ratio Historical Data,Nasdaq Price to Free Cash Flow Ratio Historical Data,Nasdaq Price to Free Cash Flow Ratio Historical Data,Nasdaq Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,72.08,,26.17
2024-06-30,60.26,$2.75,21.87
2024-03-31,62.84,$2.81,22.35
2023-12-31,57.69,$3.03,19.07
2023-09-30,48.02,$3.52,13.64
2023-06-30,49.05,$3.13,15.69
2023-03-31,53.57,$3.05,17.58
2022-12-31,59.89,$3.12,19.19
2022-09-30,55.17,$3.49,15.8
2022-06-30,49.33,$2.87,17.21
2022-03-31,57.41,$2.26,25.45
2021-12-31,67.43,$1.82,37.02
2021-09-30,61.81,$1.90,32.51
2021-06-30,56.14,$1.39,40.49
2021-03-31,46.94,$2.12,22.15
2020-12-31,42.11,$2.13,19.82
2020-09-30,38.78,$1.97,19.68
2020-06-30,37.61,$2.26,16.62
2020-03-31,29.76,$0.55,53.75
2019-12-31,33.39,$0.48,69.36
2019-09-30,30.84,$-0.14,0.0
2019-06-30,29.71,$0.21,141.6
2018-12-31,24.94,$1.82,13.68
2018-09-30,26.11,$1.70,15.38
2018-06-30,27.64,$1.83,15.13
2018-03-31,25.99,$1.80,14.4
2017-12-31,23.05,$1.50,15.33
2017-09-30,23.16,$1.46,15.85
2017-06-30,21.24,$1.41,15.07
2017-03-31,20.52,$0.52,39.53
2016-12-31,19.74,$0.53,37.46
2016-09-30,19.78,$0.13,153.89
2016-06-30,18.85,$0.35,53.93
2015-12-31,16.81,$1.16,14.54
2015-09-30,15.34,$1.08,14.15
2015-06-30,13.97,$1.01,13.87
2015-03-31,14.51,$1.06,13.74
2014-12-31,13.62,$0.95,14.37
2014-09-30,12.01,$1.00,12.01
2014-06-30,10.89,$1.09,9.95
2014-03-31,10.38,$0.55,18.78
2013-12-31,11.14,$0.89,12.47
2013-09-30,8.96,$0.75,11.93
2013-06-30,9.11,$1.06,8.6
2019-03-31,26.89,$1.32,20.35
2013-03-31,8.94,$1.05,8.53
2012-12-31,6.89,$0.97,7.12
2012-09-30,6.38,$0.94,6.8
2012-06-30,6.18,$0.86,7.2
2012-03-31,7.02,$0.95,7.37
2011-12-31,6.64,$1.08,6.17
2011-09-30,6.27,$0.98,6.37
2011-06-30,6.86,$1.07,6.41
2011-03-31,7.0,$0.98,7.14
2010-12-31,6.43,$0.64,10.01
2010-09-30,5.27,$0.90,5.86
2010-06-30,4.82,$0.83,5.78
2010-03-31,5.72,$0.31,18.38
2009-12-31,5.37,$0.81,6.61
2009-09-30,5.7,$0.39,14.77
