Western Digital Price to Free Cash Flow Ratio Historical Data,Western Digital Price to Free Cash Flow Ratio Historical Data,Western Digital Price to Free Cash Flow Ratio Historical Data,Western Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,65.59,,0.0
2024-06-30,75.77,$-1.80,0.0
2024-03-31,68.24,$-3.09,0.0
2023-12-31,52.37,$-4.59,0.0
2023-09-30,45.63,$-4.56,0.0
2023-06-30,37.93,$-3.82,0.0
2023-03-31,37.67,$-3.17,0.0
2022-12-31,31.55,$-2.14,0.0
2022-09-30,32.55,$0.81,40.34
2022-06-30,44.83,$1.63,27.53
2022-03-31,49.65,$2.28,21.74
2021-06-30,71.17,$2.90,24.57
2021-03-31,66.75,$-0.81,0.0
2020-12-31,55.39,$0.69,80.8
2020-09-30,36.55,$0.01,2436.67
2020-06-30,44.15,$0.23,192.71
2021-12-31,65.21,$2.06,31.7
2020-03-31,41.09,$1.17,34.97
2019-12-31,62.18,$1.06,58.72
2019-09-30,57.93,$1.63,35.45
2019-06-30,46.18,$2.71,17.07
2019-03-31,46.16,$4.48,10.31
2018-12-31,35.13,$6.95,5.06
2018-09-30,54.88,$9.30,5.9
2018-06-30,71.95,$11.06,6.5
2018-03-31,85.21,$11.66,7.31
2017-12-31,73.04,$12.20,5.99
2017-09-30,78.86,$12.02,6.56
2017-06-30,80.4,$9.73,8.26
2017-03-31,74.5,$7.58,9.82
2016-12-31,60.96,$6.16,9.89
2016-09-30,52.08,$5.00,10.42
2016-06-30,41.74,$5.78,7.22
2016-03-31,41.27,$11.11,3.71
2015-12-31,51.89,$10.48,4.95
2015-09-30,68.06,$10.85,6.27
2015-06-30,66.8,$8.94,7.47
2021-09-30,56.44,$6.40,8.81
2015-03-31,77.03,$7.81,9.87
2014-12-31,93.18,$7.75,12.02
2014-09-30,81.29,$10.26,7.92
2014-06-30,77.09,$9.04,8.53
2014-03-31,76.36,$8.97,8.52
2013-12-31,69.54,$8.95,7.77
2013-09-30,52.36,$8.86,5.91
2013-06-30,51.07,$8.81,5.8
2013-03-31,41.2,$10.23,4.03
2012-12-31,34.63,$12.28,2.82
2012-09-30,31.36,$11.18,2.8
2012-06-30,24.52,$9.90,2.48
2012-03-31,33.3,$7.54,4.41
2011-12-31,24.9,$4.93,5.05
2011-09-30,20.69,$4.65,4.45
2011-06-30,29.27,$4.51,6.48
2011-03-31,30.0,$4.99,6.02
2010-09-30,22.84,$4.86,4.7
2010-06-30,24.26,$5.17,4.69
2010-03-31,31.37,$6.10,5.14
2009-12-31,35.52,$3.84,9.26
2009-09-30,29.39,$4.73,6.22
