EPAM Systems Price to Free Cash Flow Ratio Historical Data,EPAM Systems Price to Free Cash Flow Ratio Historical Data,EPAM Systems Price to Free Cash Flow Ratio Historical Data,EPAM Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,200.76,,21.52
2024-06-30,188.11,$9.33,20.16
2024-03-31,276.16,$9.79,28.2
2023-12-31,297.34,$9.04,32.89
2023-09-30,255.69,$9.12,28.04
2023-06-30,224.75,$9.46,23.75
2023-03-31,299.0,$9.08,32.94
2022-12-31,327.74,$6.46,50.7
2022-09-30,362.19,$7.54,48.03
2022-06-30,294.78,$6.72,43.84
2022-03-31,296.61,$6.50,45.63
2021-12-31,668.45,$7.80,85.68
2021-09-30,570.48,$6.36,89.68
2021-06-30,510.96,$6.05,84.46
2021-03-31,396.69,$7.58,52.35
2020-12-31,358.35,$8.14,44.04
2020-09-30,323.28,$7.06,45.79
2020-06-30,252.01,$5.84,43.18
2020-03-31,185.66,$4.09,45.41
2019-12-31,212.16,$3.26,65.03
2019-09-30,182.32,$3.92,46.53
2019-06-30,173.1,$3.98,43.49
2019-03-31,169.13,$4.32,39.19
2018-12-31,116.01,$4.49,25.82
2018-09-30,137.7,$3.56,38.73
2018-06-30,124.33,$2.93,42.42
2018-03-31,114.52,$2.47,46.35
2017-12-31,107.43,$2.96,36.24
2017-09-30,87.93,$2.79,31.47
2017-06-30,84.09,$2.79,30.11
2017-03-31,75.52,$2.94,25.72
2016-12-31,64.31,$2.59,24.82
2016-09-30,69.31,$1.86,37.34
2016-06-30,64.31,$1.81,35.44
2016-03-31,74.67,$-0.57,0.0
2015-12-31,78.62,$0.25,313.48
2015-09-30,74.52,$0.47,157.08
2015-06-30,71.23,$-0.21,0.0
2014-12-31,47.75,$1.87,25.55
2014-09-30,43.79,$1.79,24.42
2014-06-30,43.75,$1.50,29.08
2014-03-31,32.9,$1.50,21.98
2013-12-31,34.94,$1.25,27.89
2015-03-31,61.29,$0.12,529.27
2013-09-30,34.5,$0.77,44.97
2013-06-30,27.18,$0.64,42.58
2013-03-31,23.23,$0.73,31.73
2012-12-31,18.1,$0.80,22.58
