Universal Health Services Price to Free Cash Flow Ratio Historical Data,Universal Health Services Price to Free Cash Flow Ratio Historical Data,Universal Health Services Price to Free Cash Flow Ratio Historical Data,Universal Health Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,237.97,,19.47
2024-06-30,184.93,$12.22,15.13
2024-03-31,182.46,$8.52,21.42
2023-12-31,152.26,$7.48,20.35
2023-09-30,125.4,$5.78,21.68
2023-06-30,157.12,$7.08,22.18
2023-03-31,126.38,$2.03,62.32
2022-12-31,139.89,$3.55,39.42
2022-09-30,87.42,$3.35,26.1
2022-06-30,99.64,$5.51,18.07
2022-03-31,143.18,$5.61,25.52
2021-12-31,127.9,$0.34,381.78
2021-09-30,136.26,$-1.82,0.0
2021-06-30,144.01,$1.90,75.76
2021-03-31,131.02,$13.31,9.85
2020-12-31,134.86,$19.03,7.09
2020-09-30,104.97,$21.57,4.87
2020-06-30,91.11,$18.02,5.06
2020-03-31,97.18,$9.83,9.88
2019-12-31,140.48,$9.03,15.55
2019-09-30,145.45,$8.99,16.18
2019-06-30,127.33,$8.16,15.61
2019-03-31,130.52,$7.14,18.27
2018-12-31,113.64,$6.50,17.47
2018-09-30,124.55,$7.23,17.22
2018-06-30,108.49,$6.62,16.38
2018-03-31,115.17,$6.02,19.12
2017-12-31,110.16,$7.16,15.38
2017-09-30,107.72,$5.04,21.36
2017-06-30,118.42,$4.87,24.33
2017-03-31,120.61,$7.92,15.23
2016-12-31,103.02,$8.05,12.79
2016-09-30,119.23,$9.16,13.01
2016-06-30,129.65,$9.25,14.02
2016-03-31,120.49,$8.55,14.09
2015-12-31,115.34,$6.84,16.86
2015-09-30,120.38,$7.86,15.32
2015-06-30,136.96,$7.28,18.81
2015-03-31,113.36,$7.20,15.75
2014-12-31,107.05,$6.41,16.69
2014-09-30,100.45,$6.08,16.52
2014-06-30,91.97,$5.83,15.76
2014-03-31,78.78,$5.47,14.39
2013-12-31,77.95,$5.29,14.73
2013-09-30,71.9,$4.85,14.83
2013-06-30,64.15,$4.68,13.71
2013-03-31,61.15,$4.95,12.36
2012-12-31,46.25,$4.46,10.36
2012-09-30,43.32,$3.18,13.62
2012-06-30,40.83,$3.85,10.61
2012-03-31,39.6,$3.39,11.69
2011-12-31,36.67,$4.31,8.5
2011-09-30,32.05,$4.00,8.02
2011-06-30,48.51,$4.01,12.11
2011-03-31,46.47,$3.17,14.68
2010-12-31,40.79,$2.67,15.25
2010-09-30,36.46,$1.96,18.62
2010-06-30,35.74,$1.53,23.41
2010-03-31,32.84,$1.68,19.54
2009-12-31,28.5,$1.64,17.34
