Prologis Price to Free Cash Flow Ratio Historical Data,Prologis Price to Free Cash Flow Ratio Historical Data,Prologis Price to Free Cash Flow Ratio Historical Data,Prologis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,127.82,,63.43
2024-06-30,112.31,$2.02,55.73
2024-03-31,129.11,$-1.01,0.0
2023-12-31,131.18,$-1.21,0.0
2023-09-30,109.72,$-0.63,0.0
2023-06-30,119.07,$-2.04,0.0
2023-03-31,120.28,$-2.18,0.0
2022-12-31,107.89,$-2.31,0.0
2022-09-30,96.56,$-2.03,0.0
2022-06-30,111.09,$-1.41,0.0
2021-12-31,157.1,$2.30,68.3
2021-09-30,116.58,$2.52,46.28
2021-06-30,110.58,$2.68,41.19
2021-03-31,97.56,$2.66,36.69
2020-12-31,91.16,$2.24,40.73
2020-09-30,91.51,$2.38,38.38
2020-06-30,84.4,$2.06,41.02
2020-03-31,72.24,$2.29,31.5
2019-12-31,79.53,$2.25,35.38
2019-09-30,75.57,$2.53,29.82
2019-06-30,70.59,$2.09,33.81
2019-03-31,62.99,$1.44,43.74
2018-12-31,51.03,$1.58,32.26
2018-09-30,58.45,$1.84,31.74
2018-06-30,56.24,$4.64,12.12
2018-03-31,53.53,$4.76,11.24
2017-12-31,54.41,$4.73,11.51
2017-09-30,53.17,$5.18,10.26
2017-06-30,48.8,$2.80,17.41
2017-03-31,42.85,$3.36,12.74
2016-12-31,43.21,$3.43,12.59
2016-09-30,43.47,$3.61,12.04
2016-06-30,39.49,$4.15,9.51
2016-03-31,35.28,$4.55,7.76
2022-03-31,151.44,$4.27,35.43
2015-12-31,33.94,$2.70,12.55
2015-09-30,30.47,$2.68,11.37
2015-06-30,28.75,$2.08,13.84
2015-03-31,33.45,$2.89,11.59
2014-12-31,32.77,$2.55,12.85
2014-09-30,28.48,$4.01,7.11
2014-06-30,30.78,$3.35,9.19
2014-03-31,30.34,$5.78,5.25
2013-12-31,27.24,$7.34,3.71
2013-09-30,27.52,$5.01,5.49
2013-06-30,27.38,$5.11,5.35
2012-12-31,26.12,$2.55,10.25
2012-09-30,24.87,$-3.28,0.0
2012-06-30,23.41,$3.10,7.54
2012-03-31,25.16,$2.85,8.82
2011-12-31,19.8,$1.51,13.08
2013-03-31,28.82,$6.90,4.18
2011-09-30,16.62,$4.65,3.58
2011-06-30,24.32,$6.17,3.94
2011-03-31,24.22,$5.19,4.67
2010-12-31,21.17,$6.99,3.03
2010-09-30,17.34,$2.87,6.04
2010-06-30,15.35,$1.30,11.79
2009-12-31,16.37,$1.62,10.11
2009-09-30,14.35,$-0.77,0.0
