Kimberly-Clark Price to Free Cash Flow Ratio Historical Data,Kimberly-Clark Price to Free Cash Flow Ratio Historical Data,Kimberly-Clark Price to Free Cash Flow Ratio Historical Data,Kimberly-Clark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,144.66,,16.81
2024-06-30,138.2,$8.61,16.06
2024-03-31,129.35,$8.42,15.36
2023-12-31,120.34,$8.92,13.5
2023-09-30,118.54,$8.25,14.36
2023-06-30,134.17,$7.75,17.32
2023-03-31,129.31,$6.89,18.78
2022-12-31,129.54,$5.52,23.45
2022-09-30,106.49,$5.52,19.3
2022-06-30,126.71,$5.38,23.53
2022-03-31,114.43,$5.00,22.89
2021-12-31,131.61,$5.21,25.25
2021-09-30,120.94,$4.58,26.41
2021-06-30,121.16,$3.83,31.67
2021-03-31,124.84,$6.47,19.3
2020-12-31,119.98,$7.42,16.16
2020-09-30,130.39,$7.50,17.39
2020-06-30,123.95,$8.92,13.9
2020-03-31,111.26,$6.14,18.12
2019-12-31,118.8,$5.12,23.21
2019-09-30,121.76,$5.24,23.22
2019-06-30,113.41,$4.36,26.0
2019-03-31,104.62,$0.10,1015.74
2018-12-31,95.36,$1.99,48.0
2018-09-30,94.27,$1.76,53.43
2018-06-30,86.64,$2.19,39.62
2017-12-31,97.41,$6.03,16.15
2017-09-30,94.24,$10.01,9.41
2017-06-30,102.56,$9.32,11.0
2017-03-31,103.79,$9.60,10.81
2016-12-31,89.33,$10.87,8.22
2018-03-31,89.7,$5.92,15.15
2016-09-30,97.95,$6.03,16.24
2016-06-30,105.99,$5.49,19.29
2016-03-31,102.97,$5.05,20.4
2015-12-31,96.77,$3.41,28.36
2015-09-30,82.28,$3.03,27.15
2015-06-30,79.3,$3.29,24.12
2015-03-31,79.51,$3.60,22.09
2014-12-31,85.07,$4.79,17.78
2014-09-30,75.4,$5.86,12.86
2014-06-30,77.35,$5.94,13.02
2014-03-31,76.1,$5.15,14.78
2013-12-31,71.55,$5.72,12.51
2013-09-30,64.04,$5.92,10.82
2013-06-30,65.45,$5.43,12.05
2013-03-31,65.47,$5.78,11.32
2012-12-31,55.93,$5.56,10.05
2012-09-30,56.34,$4.12,13.68
2012-06-30,54.53,$4.09,13.33
2012-03-31,47.66,$4.22,11.28
2011-12-31,46.96,$3.44,13.65
2011-09-30,44.88,$4.32,10.4
2011-06-30,41.65,$4.13,10.07
2011-03-31,40.41,$3.69,10.95
2010-12-31,38.61,$4.32,8.94
2010-09-30,39.42,$4.64,8.5
2010-06-30,36.38,$4.93,7.38
2010-03-31,37.32,$5.88,6.35
2009-12-31,37.4,$6.38,5.87
