CenterPoint Energy Price to Free Cash Flow Ratio Historical Data,CenterPoint Energy Price to Free Cash Flow Ratio Historical Data,CenterPoint Energy Price to Free Cash Flow Ratio Historical Data,CenterPoint Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,27.3,,0.0
2024-06-30,30.74,$-2.03,0.0
2024-03-31,28.08,$-2.24,0.0
2023-12-31,27.96,$-0.83,0.0
2023-09-30,26.08,$-1.76,0.0
2023-06-30,28.13,$-2.35,0.0
2023-03-31,28.24,$-2.77,0.0
2022-12-31,28.56,$-4.13,0.0
2022-09-30,26.68,$-3.55,0.0
2022-06-30,27.85,$-2.45,0.0
2022-03-31,28.69,$-1.97,0.0
2021-12-31,25.97,$-5.15,0.0
2021-09-30,22.74,$-4.69,0.0
2021-06-30,22.53,$-5.07,0.0
2021-03-31,20.68,$-4.73,0.0
2020-12-31,19.61,$-1.13,0.0
2020-09-30,17.42,$-1.08,0.0
2020-06-30,16.69,$-0.72,0.0
2020-03-31,13.69,$-1.20,0.0
2019-12-31,23.9,$-1.72,0.0
2019-09-30,26.14,$-1.67,0.0
2019-06-30,24.8,$-1.02,0.0
2019-03-31,26.33,$0.26,99.72
2018-12-31,23.99,$1.07,22.36
2018-09-30,23.27,$1.18,19.65
2018-06-30,23.09,$0.83,27.77
2018-03-31,22.58,$0.25,90.73
2017-12-31,23.13,$-0.02,0.0
2017-09-30,23.61,$0.31,76.45
2017-06-30,21.92,$0.36,61.26
2017-03-31,21.86,$0.48,45.56
2016-12-31,19.34,$1.17,16.49
2016-09-30,18.03,$0.71,25.49
2016-06-30,18.42,$0.59,30.97
2016-03-31,15.87,$0.62,25.77
2015-12-31,13.73,$0.67,20.64
2015-09-30,13.3,$0.67,19.97
2015-06-30,13.85,$0.81,17.19
2015-03-31,14.67,$0.63,23.35
2014-12-31,16.65,$0.06,287.62
2014-09-30,17.23,$0.54,31.88
2014-06-30,17.8,$0.49,36.54
2014-03-31,16.35,$0.33,49.15
2013-12-31,15.84,$0.76,20.87
2013-09-30,16.24,$0.71,22.77
2013-06-30,15.78,$1.04,15.12
2013-03-31,15.96,$1.74,9.15
2012-12-31,12.69,$1.51,8.42
2012-09-30,13.9,$1.53,9.09
2012-06-30,13.36,$1.12,11.88
2012-03-31,12.62,$1.05,12.02
2011-12-31,12.72,$1.36,9.32
2011-09-30,12.29,$1.01,12.21
2011-06-30,12.0,$0.65,18.36
2011-03-31,10.77,$-0.06,0.0
2010-12-31,9.53,$-0.30,0.0
2010-09-30,9.41,$-0.00,0.0
2010-06-30,7.77,$0.52,15.02
2010-03-31,8.37,$1.80,4.64
2009-12-31,8.34,$1.85,4.51
