RTX Price to Free Cash Flow Ratio Historical Data,RTX Price to Free Cash Flow Ratio Historical Data,RTX Price to Free Cash Flow Ratio Historical Data,RTX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,123.34,,20.01
2024-06-30,99.86,$6.16,16.2
2024-03-31,96.43,$4.65,20.72
2023-12-31,82.65,$3.81,21.7
2023-09-30,70.18,$3.61,19.41
2023-06-30,94.86,$1.91,49.73
2023-03-31,94.25,$2.32,40.6
2022-12-31,96.6,$3.28,29.41
2022-09-30,77.9,$2.21,35.28
2022-06-30,90.93,$3.03,30.05
2022-03-31,93.17,$3.12,29.84
2021-12-31,80.5,$3.32,24.25
2021-09-30,79.93,$2.55,31.39
2021-06-30,78.85,$2.36,33.44
2021-03-31,70.99,$1.16,61.21
2020-12-31,65.28,$1.87,34.91
2020-09-30,52.14,$1.85,28.11
2020-06-30,55.42,$2.53,21.93
2020-03-31,84.09,$4.19,20.08
2019-12-31,132.87,$4.58,29.04
2019-09-30,120.53,$1.40,85.8
2019-06-30,114.95,$1.60,71.96
2019-03-31,113.17,$2.66,42.53
2018-12-31,92.95,$1.49,62.59
2018-09-30,121.35,$6.13,19.79
2018-06-30,107.96,$3.87,27.91
2018-03-31,108.03,$3.84,28.14
2017-12-31,108.95,$4.53,24.07
2017-09-30,98.55,$3.84,25.64
2017-06-30,103.06,$6.32,16.3
2017-03-31,94.18,$5.92,15.9
2016-12-31,91.47,$5.71,16.03
2016-09-30,84.26,$6.63,12.71
2016-06-30,84.53,$5.46,15.47
2016-03-31,81.97,$4.93,16.62
2015-12-31,78.1,$5.78,13.52
2015-09-30,71.88,$4.95,14.53
2015-06-30,89.02,$6.01,14.8
2015-03-31,93.55,$6.28,14.9
2014-12-31,91.3,$5.91,15.46
2014-09-30,83.38,$6.43,12.97
2014-06-30,90.65,$5.90,15.37
2014-03-31,91.28,$6.15,14.84
2013-12-31,88.45,$6.28,14.09
2013-09-30,83.34,$5.65,14.75
2013-06-30,71.47,$5.82,12.28
2013-03-31,71.45,$5.72,12.5
2012-12-31,62.35,$5.75,10.84
2012-09-30,59.09,$5.99,9.87
2012-06-30,56.62,$6.47,8.75
2012-03-31,61.78,$6.10,10.13
2011-12-31,54.13,$6.10,8.87
2011-09-30,51.79,$5.62,9.21
2011-06-30,64.71,$5.35,12.09
2011-03-31,61.55,$5.46,11.27
2010-12-31,56.96,$5.29,10.76
2010-09-30,51.24,$5.32,9.63
2010-06-30,46.41,$5.49,8.45
2010-03-31,52.33,$5.61,9.32
2009-12-31,49.03,$4.87,10.06
