Walmart Price to Free Cash Flow Ratio Historical Data,Walmart Price to Free Cash Flow Ratio Historical Data,Walmart Price to Free Cash Flow Ratio Historical Data,Walmart Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,77.23,,42.41
2024-04-30,58.98,$1.82,32.39
2024-01-31,54.55,$1.90,28.78
2023-10-31,53.75,$1.57,34.14
2023-07-31,52.39,$2.39,21.97
2023-04-30,49.29,$2.39,20.64
2023-01-31,46.78,$1.48,31.57
2022-10-31,46.11,$0.87,52.81
2022-07-31,42.59,$0.69,62.14
2022-04-30,49.17,$-2.56,0.0
2022-01-31,44.76,$-0.57,0.0
2021-10-31,47.65,$-0.86,0.0
2021-07-31,45.29,$0.28,164.38
2021-01-31,44.27,$3.05,14.53
2020-10-31,43.56,$3.58,12.17
2020-07-31,40.46,$3.54,11.43
2020-04-30,37.84,$2.42,15.65
2020-01-31,35.48,$2.38,14.9
2021-04-30,44.28,$0.90,49.25
2019-10-31,36.18,$1.64,22.03
2019-07-31,33.89,$0.71,47.68
2019-04-30,31.41,$1.03,30.56
2019-01-31,29.11,$1.24,23.47
2018-10-31,30.3,$0.81,37.46
2018-01-31,31.63,$2.07,15.3
2017-10-31,25.77,$2.67,9.64
2017-07-31,23.46,$1.68,13.94
2017-04-30,21.91,$1.57,13.98
2017-01-31,19.31,$1.87,10.31
2018-07-31,26.8,$0.79,33.75
2016-10-31,20.11,$2.40,8.38
2016-07-31,20.82,$2.31,9.01
2016-04-30,18.94,$1.92,9.84
2016-01-31,18.65,$1.73,10.77
2015-10-31,15.96,$1.69,9.43
2015-07-31,19.93,$1.59,12.56
2015-04-30,21.48,$1.59,13.53
2015-01-31,23.24,$1.74,13.33
2014-10-31,20.74,$1.45,14.28
2014-07-31,19.88,$1.27,15.6
2014-04-30,21.41,$1.30,16.47
2014-01-31,19.93,$1.10,18.06
2013-10-31,20.36,$1.02,19.97
2013-07-31,20.55,$1.23,16.76
2013-04-30,20.37,$1.20,17.05
2013-01-31,18.22,$1.30,14.01
2012-10-31,19.43,$1.45,13.4
2012-07-31,19.18,$1.30,14.74
2012-04-30,15.08,$1.42,10.62
2012-01-31,15.6,$1.09,14.36
2011-10-31,14.33,$1.10,12.97
2011-07-31,13.22,$1.02,12.93
2011-04-30,13.7,$1.14,12.04
2011-01-31,13.87,$1.04,13.36
2010-10-31,13.33,$1.28,10.4
2010-07-31,12.52,$1.35,9.25
2010-04-30,13.04,$1.07,12.16
2010-01-31,12.92,$1.30,9.97
2009-10-31,11.95,$0.95,12.56
2009-07-31,11.94,$1.40,8.54
