Duke Energy Price to Free Cash Flow Ratio Historical Data,Duke Energy Price to Free Cash Flow Ratio Historical Data,Duke Energy Price to Free Cash Flow Ratio Historical Data,Duke Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,113.95,,0.0
2024-06-30,99.31,$-1.33,0.0
2024-03-31,94.87,$-2.33,0.0
2023-12-31,94.15,$-3.54,0.0
2023-09-30,84.67,$-5.82,0.0
2023-06-30,85.13,$-8.88,0.0
2023-03-31,90.58,$-8.24,0.0
2022-12-31,95.72,$-7.06,0.0
2022-09-30,85.55,$-5.88,0.0
2022-06-30,97.7,$-2.27,0.0
2022-03-31,100.84,$-2.67,0.0
2021-12-31,93.8,$-1.85,0.0
2021-09-30,86.43,$-0.37,0.0
2021-06-30,86.62,$-0.04,0.0
2021-03-31,83.91,$0.15,570.06
2020-12-31,78.75,$-1.42,0.0
2020-09-30,75.4,$-1.51,0.0
2020-06-30,67.23,$-3.06,0.0
2020-03-31,67.29,$-3.95,0.0
2019-12-31,75.18,$-4.00,0.0
2019-09-30,78.18,$-4.95,0.0
2019-06-30,71.21,$-4.90,0.0
2019-03-31,71.86,$-3.90,0.0
2018-12-31,68.18,$-3.11,0.0
2018-09-30,62.55,$-2.33,0.0
2018-06-30,61.12,$-1.95,0.0
2018-03-31,59.16,$-1.73,0.0
2017-12-31,63.49,$-2.04,0.0
2017-09-30,62.72,$-3.25,0.0
2017-06-30,61.84,$-2.87,0.0
2017-03-31,60.05,$-2.86,0.0
2016-12-31,56.21,$-1.50,0.0
2016-09-30,57.3,$-0.67,0.0
2016-06-30,60.8,$-0.07,0.0
2016-03-31,56.57,$-0.06,0.0
2015-12-31,49.53,$-0.10,0.0
2015-09-30,49.31,$0.80,61.73
2015-06-30,47.88,$1.18,40.59
2015-03-31,51.51,$1.52,33.85
2014-12-31,55.5,$1.70,32.65
2014-09-30,49.19,$1.60,30.73
2014-06-30,48.26,$1.29,37.49
2014-03-31,45.83,$1.82,25.19
2013-12-31,43.92,$1.21,36.23
2013-09-30,42.04,$0.98,42.88
2013-06-30,42.02,$0.32,133.4
2013-03-31,44.72,$-0.59,0.0
2012-12-31,38.87,$-0.45,0.0
2012-09-30,38.98,$-1.38,0.0
2012-06-30,41.15,$-1.53,0.0
2012-03-31,37.06,$-1.72,0.0
2011-12-31,38.35,$-1.56,0.0
2011-09-30,34.42,$-1.19,0.0
2011-06-30,31.96,$-0.93,0.0
2011-03-31,30.41,$-0.75,0.0
2010-12-31,29.44,$-0.78,0.0
2010-09-30,28.88,$-0.73,0.0
2010-06-30,25.73,$-0.65,0.0
2010-03-31,25.86,$-0.71,0.0
2009-12-31,26.88,$-2.25,0.0
