Pentair Price to Free Cash Flow Ratio Historical Data,Pentair Price to Free Cash Flow Ratio Historical Data,Pentair Price to Free Cash Flow Ratio Historical Data,Pentair Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,88.69,,23.29
2024-06-30,76.45,$3.81,20.08
2024-03-31,84.94,$0.84,101.48
2023-12-31,72.05,$2.03,35.54
2023-09-30,63.94,$1.87,34.11
2023-06-30,63.58,$2.75,23.11
2022-12-31,43.89,$1.70,25.75
2022-09-30,39.43,$5.34,7.38
2022-06-30,44.22,$4.16,10.63
2022-03-31,52.17,$3.42,15.27
2021-12-31,70.06,$6.51,10.76
2023-03-31,54.17,$2.27,23.84
2021-09-30,69.49,$3.34,20.8
2021-06-30,64.38,$3.67,17.56
2021-03-31,59.26,$3.96,14.98
2020-12-31,50.31,$3.06,16.47
2020-09-30,43.22,$3.15,13.71
2020-06-30,35.71,$2.75,12.97
2020-03-31,27.8,$2.24,12.41
2019-12-31,42.68,$1.73,24.64
2019-09-30,35.0,$2.09,16.76
2019-06-30,34.28,$1.75,19.54
2019-03-31,40.83,$1.61,25.34
2018-12-31,34.5,$2.21,15.64
2018-09-30,39.41,$2.76,14.29
2018-06-30,38.1,$3.29,11.59
2018-03-31,41.81,$2.90,14.41
2017-12-31,43.13,$3.18,13.55
2017-09-30,41.31,$3.77,10.95
2017-06-30,40.23,$3.60,11.17
2017-03-31,37.75,$0.29,129.06
2016-12-31,33.53,$2.75,12.21
2016-09-30,38.19,$1.87,20.41
2016-06-30,34.47,$2.63,13.08
2015-12-31,28.91,$3.57,8.09
2015-09-30,29.61,$3.53,8.4
2015-06-30,39.68,$3.74,10.61
2015-03-31,36.11,$3.98,9.07
2014-12-31,37.93,$4.78,7.93
2014-09-30,37.23,$4.71,7.91
2014-06-30,40.83,$4.50,9.08
2014-03-31,44.77,$3.75,11.94
2013-12-31,43.68,$3.73,11.7
2013-09-30,36.38,$-0.22,0.0
2013-06-30,32.19,$-0.69,0.0
2013-03-31,29.31,$-3.02,0.0
2012-12-31,27.19,$-2.24,0.0
2012-09-30,24.35,$0.79,30.63
2012-06-30,20.95,$2.00,10.46
2011-12-31,18.02,$2.53,7.13
2011-09-30,17.24,$4.24,4.07
2011-06-30,21.62,$3.30,6.55
2011-03-31,20.14,$2.31,8.74
2010-12-31,19.35,$4.43,4.37
2016-03-31,31.9,$1.84,17.3
2010-09-30,17.72,$2.13,8.31
2010-06-30,16.88,$2.38,7.08
2010-03-31,18.57,$2.20,8.46
2009-12-31,16.74,$2.09,8.03
2009-09-30,15.21,$1.21,12.54
