ResMed Price to Free Cash Flow Ratio Historical Data,ResMed Price to Free Cash Flow Ratio Historical Data,ResMed Price to Free Cash Flow Ratio Historical Data,ResMed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,245.02,,27.77
2024-06-30,190.97,$8.82,21.65
2024-03-31,197.12,$7.39,26.68
2023-12-31,170.79,$6.52,26.18
2023-09-30,146.34,$5.52,26.5
2023-06-30,215.65,$3.89,55.43
2023-03-31,215.73,$2.86,75.43
2022-12-31,204.62,$1.61,127.25
2022-09-30,214.17,$2.21,96.89
2022-06-30,205.29,$1.47,139.55
2022-03-31,236.97,$2.46,96.21
2021-12-31,254.09,$3.17,80.1
2021-09-30,256.67,$2.80,91.58
2021-06-30,239.73,$4.33,55.38
2021-03-31,188.29,$5.14,36.66
2020-12-31,205.89,$5.40,38.13
2020-09-30,165.74,$4.78,34.65
2020-06-30,185.24,$4.85,38.17
2020-03-31,141.76,$3.53,40.11
2019-12-31,148.82,$2.96,50.33
2019-09-30,129.4,$3.42,37.83
2019-06-30,116.87,$2.70,43.26
2019-03-31,99.57,$2.65,37.55
2018-12-31,108.63,$2.73,39.75
2018-09-30,109.66,$2.77,39.54
2018-06-30,98.14,$3.07,31.94
2018-03-31,92.97,$3.16,29.46
2017-12-31,79.66,$2.58,30.91
2017-09-30,72.08,$2.51,28.73
2017-06-30,72.58,$2.47,29.39
2017-03-31,66.75,$2.51,26.59
2016-12-31,57.28,$2.94,19.5
2016-09-30,59.47,$3.20,18.59
2016-06-30,57.76,$3.45,16.72
2016-03-31,52.54,$3.17,16.58
2015-12-31,48.53,$2.94,16.54
2015-09-30,45.83,$2.55,18.0
2015-06-30,50.42,$2.25,22.43
2015-03-31,63.89,$2.29,27.84
2014-12-31,49.68,$2.33,21.31
2014-09-30,43.43,$2.16,20.09
2014-06-30,44.38,$2.21,20.11
2014-03-31,38.98,$2.28,17.07
2013-12-31,40.85,$2.28,17.88
2013-09-30,45.6,$2.38,19.14
2013-06-30,38.77,$2.32,16.73
2013-03-31,39.69,$2.12,18.71
2012-12-31,35.45,$2.06,17.18
2012-09-30,34.36,$2.19,15.66
2012-06-30,26.37,$2.25,11.72
2012-03-31,26.13,$2.07,12.62
2011-12-31,21.47,$1.95,11.01
2011-09-30,24.34,$1.60,15.25
2011-06-30,26.16,$1.38,18.99
2011-03-31,25.36,$1.29,19.66
2010-12-31,29.28,$1.14,25.69
2010-09-30,27.74,$0.28,100.02
2010-06-30,25.7,$0.29,88.26
2010-03-31,26.9,$0.24,110.35
2009-12-31,22.09,$0.31,72.25
