Invesco Price to Free Cash Flow Ratio Historical Data,Invesco Price to Free Cash Flow Ratio Historical Data,Invesco Price to Free Cash Flow Ratio Historical Data,Invesco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,17.09,,5.66
2024-06-30,14.78,$3.02,4.9
2024-03-31,16.18,$2.62,6.17
2023-12-31,17.18,$2.49,6.9
2023-09-30,13.77,$1.87,7.36
2023-06-30,15.75,$2.11,7.48
2023-03-31,15.18,$1.68,9.06
2022-12-31,16.48,$1.11,14.84
2022-09-30,12.41,$0.18,69.23
2022-06-30,14.46,$0.48,30.17
2022-03-31,20.45,$1.32,15.49
2021-12-31,20.27,$2.08,9.73
2021-09-30,21.09,$3.30,6.38
2021-06-30,23.23,$2.88,8.06
2021-03-31,21.78,$2.52,8.65
2020-12-31,14.95,$2.41,6.2
2020-09-30,9.68,$2.25,4.3
2020-06-30,9.0,$2.03,4.44
2020-03-31,7.45,$2.40,3.11
2019-12-31,14.51,$2.25,6.44
2019-09-30,13.44,$1.60,8.4
2019-06-30,16.23,$1.60,10.13
2019-03-31,15.1,$1.59,9.52
2018-12-31,12.88,$1.76,7.31
2018-09-30,17.35,$2.30,7.53
2018-06-30,19.9,$2.59,7.69
2018-03-31,23.73,$2.12,11.17
2017-12-31,26.85,$2.55,10.52
2017-09-30,25.53,$1.74,14.69
2017-06-30,25.42,$1.70,14.92
2017-03-31,21.93,$1.65,13.29
2016-12-31,21.54,$1.26,17.14
2016-09-30,22.0,$2.48,8.86
2016-06-30,17.8,$1.80,9.91
2016-03-31,21.24,$2.45,8.69
2015-12-31,22.88,$2.40,9.54
2015-09-30,21.16,$1.44,14.7
2015-06-30,25.22,$2.31,10.91
2015-03-31,26.52,$2.88,9.2
2014-12-31,26.24,$2.52,10.41
2014-09-30,26.05,$2.63,9.9
2014-06-30,24.76,$2.30,10.77
2014-03-31,24.09,$2.17,11.12
2013-12-31,23.55,$1.60,14.74
2013-09-30,20.5,$2.20,9.31
2013-06-30,20.29,$1.60,12.65
2013-03-31,18.36,$0.85,21.48
2012-12-31,16.44,$1.59,10.35
2012-09-30,15.63,$1.14,13.75
2012-06-30,14.03,$2.11,6.65
2012-03-31,16.43,$1.75,9.37
2011-12-31,12.32,$1.87,6.58
2011-09-30,9.45,$1.25,7.56
2011-06-30,14.15,$1.07,13.26
2011-03-31,15.38,$0.79,19.38
2010-12-31,14.42,$0.63,23.06
2010-09-30,12.66,$1.11,11.37
2010-06-30,9.97,$0.61,16.37
2010-03-31,12.91,$0.81,16.01
2009-12-31,13.77,$0.78,17.67
