Yum! Brands Price to Free Cash Flow Ratio Historical Data,Yum! Brands Price to Free Cash Flow Ratio Historical Data,Yum! Brands Price to Free Cash Flow Ratio Historical Data,Yum! Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,134.92,,28.11
2024-06-30,131.8,$4.80,27.46
2024-03-31,137.29,$4.72,29.12
2023-12-31,128.74,$4.62,27.84
2023-09-30,122.52,$4.54,26.96
2023-06-30,135.24,$4.44,30.48
2023-03-31,128.32,$4.25,30.21
2022-12-31,123.86,$3.96,31.29
2022-09-30,102.38,$3.89,26.3
2022-06-30,108.73,$4.09,26.61
2022-03-31,112.99,$4.69,24.09
2021-12-31,131.76,$4.89,26.96
2021-09-30,115.6,$5.09,22.69
2021-06-30,108.31,$5.04,21.51
2021-03-31,101.43,$3.98,25.47
2020-12-31,101.31,$3.73,27.16
2020-09-30,84.83,$3.56,23.84
2020-06-30,80.36,$3.31,24.28
2020-03-31,63.04,$3.42,18.41
2019-12-31,92.25,$3.58,25.8
2019-09-30,103.43,$3.34,30.98
2019-06-30,100.55,$2.08,48.26
2019-03-31,90.31,$2.29,39.47
2018-12-31,82.8,$2.06,40.27
2018-09-30,81.55,$1.41,57.65
2017-12-31,72.25,$2.01,36.02
2017-09-30,64.92,$1.95,33.24
2017-06-30,64.79,$2.04,31.82
2017-03-31,55.87,$2.23,25.01
2016-12-31,55.11,$2.20,25.11
2016-09-30,56.36,$0.85,66.52
2016-06-30,51.19,$1.61,31.81
2016-03-31,50.25,$1.76,28.56
2015-12-31,44.55,$1.86,23.91
2015-09-30,48.43,$2.14,22.66
2015-06-30,54.32,$1.34,40.47
2015-03-31,47.22,$1.38,34.14
2014-12-31,43.45,$1.61,27.03
2014-09-30,42.67,$2.64,16.13
2014-06-30,47.93,$3.31,14.47
2014-03-31,44.28,$2.90,15.27
2013-12-31,44.19,$2.38,18.57
2013-09-30,41.49,$1.96,21.13
2013-06-30,40.11,$1.99,20.11
2013-03-31,41.41,$2.45,16.93
2012-12-31,38.02,$2.53,15.05
2012-09-30,37.81,$2.58,14.65
2012-06-30,36.55,$2.42,15.12
2018-03-31,75.71,$2.30,32.91
2011-12-31,33.19,$2.56,12.98
2011-09-30,27.62,$4.17,6.62
2011-06-30,30.76,$3.64,8.46
2011-03-31,28.47,$4.15,6.85
2010-12-31,27.04,$4.04,6.68
2012-03-31,40.22,$2.75,14.62
2010-09-30,25.26,$2.12,11.92
2010-06-30,21.3,$2.06,10.32
2010-03-31,20.81,$1.49,13.93
2009-12-31,18.87,$1.33,14.22
2009-09-30,18.11,$2.23,8.13
