Darden Restaurants Price to Free Cash Flow Ratio Historical Data,Darden Restaurants Price to Free Cash Flow Ratio Historical Data,Darden Restaurants Price to Free Cash Flow Ratio Historical Data,Darden Restaurants Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,158.15,,69.14
2024-05-31,148.88,$2.29,65.08
2024-02-29,167.61,$3.02,55.45
2023-11-30,152.39,$-0.13,0.0
2023-05-31,151.71,$8.01,18.95
2023-02-28,135.75,$11.79,11.52
2022-11-30,138.42,$9.70,14.27
2022-08-31,115.42,$11.88,9.72
2022-05-31,115.43,$10.97,10.52
2023-08-31,150.02,$5.87,25.54
2022-02-28,132.94,$7.71,17.24
2021-11-30,125.34,$6.94,18.07
2021-08-31,135.92,$6.52,20.83
2021-05-31,128.24,$7.05,18.2
2021-02-28,122.22,$1.86,65.88
2020-11-30,95.82,$2.95,32.46
2020-08-31,76.68,$2.12,36.23
2020-05-31,68.0,$1.95,34.96
2020-02-29,86.27,$6.21,13.88
2019-11-30,103.99,$6.31,16.48
2019-08-31,105.4,$6.72,15.69
2019-05-31,100.62,$6.40,15.71
2019-02-28,96.36,$5.81,16.6
2018-11-30,94.33,$5.44,17.35
2018-08-31,98.35,$4.91,20.02
2018-05-31,73.58,$4.80,15.34
2018-02-28,77.05,$4.56,16.88
2017-11-30,70.02,$4.46,15.69
2017-08-31,67.64,$4.59,14.75
2017-05-31,72.76,$4.81,15.12
2017-02-28,60.7,$5.04,12.05
2016-11-30,59.11,$5.21,11.34
2016-08-31,49.26,$6.21,7.93
2016-05-31,53.72,$6.91,7.77
2016-02-29,50.21,$7.75,6.47
2015-11-30,43.8,$7.45,5.88
2015-08-31,46.96,$6.46,7.27
2015-05-31,44.91,$4.85,9.25
2015-02-28,43.5,$2.57,16.9
2014-11-30,38.38,$1.53,25.12
2014-08-31,31.52,$1.03,30.73
2014-05-31,32.99,$1.09,30.3
2014-02-28,33.24,$0.61,54.16
2013-11-30,34.35,$1.19,28.91
2013-08-31,29.42,$-0.13,0.0
2013-05-31,32.63,$0.64,50.99
2013-02-28,28.86,$1.21,23.76
2012-11-30,32.62,$1.71,19.13
2012-08-31,31.76,$1.37,23.1
2012-05-31,31.31,$0.45,69.85
2012-02-29,30.6,$1.07,28.54
2011-11-30,28.36,$0.53,53.6
2011-08-31,28.31,$1.64,17.24
2011-05-31,29.57,$2.52,11.72
2011-02-28,27.34,$2.30,11.91
2010-11-30,28.2,$2.73,10.33
2010-08-31,23.59,$3.53,6.69
2010-05-31,24.33,$3.40,7.16
2010-02-28,22.87,$3.99,5.73
2009-11-30,17.6,$2.54,6.93
