Invitation Home Price to Free Cash Flow Ratio Historical Data,Invitation Home Price to Free Cash Flow Ratio Historical Data,Invitation Home Price to Free Cash Flow Ratio Historical Data,Invitation Home Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,36.84,,16.35
2024-06-30,35.89,$2.25,15.93
2024-03-31,35.33,$2.18,16.2
2023-12-31,33.57,$2.19,15.32
2023-09-30,30.69,$2.12,14.49
2023-06-30,33.06,$1.85,17.88
2023-03-31,29.79,$1.76,16.93
2022-12-31,28.05,$1.53,18.37
2022-09-30,31.73,$1.52,20.84
2022-06-30,33.23,$1.50,22.15
2022-03-31,37.3,$1.45,25.77
2021-12-31,41.87,$1.55,26.97
2021-09-30,35.25,$1.53,22.97
2021-06-30,34.15,$1.52,22.52
2021-03-31,29.15,$1.53,19.0
2020-12-31,26.92,$1.51,17.79
2020-09-30,25.23,$2.07,12.2
2020-06-30,24.69,$2.12,11.64
2020-03-31,19.05,$2.29,8.32
2019-12-31,26.58,$2.43,10.92
2019-09-30,26.15,$2.29,11.43
2019-06-30,23.5,$2.18,10.78
2019-03-31,21.27,$1.97,10.78
2018-12-31,17.46,$1.66,10.51
2018-09-30,19.82,$1.02,19.41
2018-06-30,19.85,$0.91,21.74
2018-03-31,19.56,$0.92,21.16
2017-12-31,20.09,$1.09,18.41
