EQT Price to Free Cash Flow Ratio Historical Data,EQT Price to Free Cash Flow Ratio Historical Data,EQT Price to Free Cash Flow Ratio Historical Data,EQT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,33.51,,20.9
2024-06-30,36.79,$1.60,22.94
2024-03-31,36.74,$1.24,29.69
2023-12-31,38.14,$2.81,13.59
2023-09-30,39.88,$4.29,9.29
2023-06-30,40.28,$6.78,5.94
2023-03-31,31.1,$6.10,5.1
2022-12-31,32.82,$5.08,6.46
2022-09-30,39.4,$5.54,7.11
2022-06-30,33.14,$3.07,10.79
2022-03-31,33.03,$3.00,11.02
2021-12-31,20.82,$1.58,13.16
2021-09-30,19.54,$-2.65,0.0
2021-06-30,21.25,$-1.31,0.0
2021-03-31,17.74,$0.28,64.3
2020-12-31,12.14,$-0.76,0.0
2020-09-30,12.35,$0.61,20.19
2020-03-31,6.75,$-0.03,0.0
2019-12-31,10.35,$0.98,10.59
2019-09-30,10.08,$-4.47,0.0
2019-06-30,14.94,$-2.35,0.0
2019-03-31,19.57,$-1.04,0.0
2018-12-31,17.79,$-4.03,0.0
2020-06-30,11.36,$2.14,5.32
2018-09-30,22.59,$3.23,7.0
2018-06-30,28.17,$-4.30,0.0
2018-03-31,24.24,$-2.22,0.0
2017-12-31,29.02,$-6.35,0.0
2017-09-30,33.25,$-12.20,0.0
2017-03-31,31.11,$-7.35,0.0
2016-12-31,33.28,$-9.20,0.0
2016-09-30,36.94,$-6.16,0.0
2016-06-30,39.36,$-5.28,0.0
2016-03-31,34.18,$-7.25,0.0
2015-12-31,26.48,$-7.96,0.0
2015-09-30,32.88,$-8.62,0.0
2015-06-30,41.28,$-7.77,0.0
2015-03-31,42.04,$-8.03,0.0
2014-12-31,38.39,$-3.94,0.0
2014-09-30,46.41,$-2.78,0.0
2014-06-30,54.18,$-2.49,0.0
2013-12-31,45.27,$0.92,49.05
2013-09-30,44.72,$-5.44,0.0
2013-06-30,40.0,$-5.10,0.0
2013-03-31,34.13,$-4.52,0.0
2012-12-31,29.69,$-5.82,0.0
2014-03-31,48.91,$-2.35,0.0
2012-09-30,29.6,$-3.67,0.0
2012-06-30,26.8,$-0.97,0.0
2012-03-31,23.98,$0.04,629.45
2011-12-31,27.14,$1.74,15.64
2011-09-30,26.34,$1.66,15.91
2011-06-30,25.83,$-1.63,0.0
2011-03-31,24.43,$-2.08,0.0
2010-12-31,21.85,$-3.05,0.0
2010-09-30,17.47,$-4.08,0.0
2010-06-30,17.41,$-3.96,0.0
2010-03-31,19.65,$-4.07,0.0
2017-06-30,29.84,$-4.32,0.0
2009-12-31,20.94,$-1.81,0.0
