Entergy Price to Free Cash Flow Ratio Historical Data,Entergy Price to Free Cash Flow Ratio Historical Data,Entergy Price to Free Cash Flow Ratio Historical Data,Entergy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,120.69,,0.0
2024-06-30,105.98,$-1.95,0.0
2024-03-31,103.58,$-2.65,0.0
2023-12-31,98.04,$-0.80,0.0
2023-09-30,88.57,$-2.71,0.0
2023-06-30,92.2,$-5.08,0.0
2023-03-31,101.0,$-8.88,0.0
2022-12-31,104.38,$-12.59,0.0
2022-09-30,92.47,$-20.48,0.0
2022-06-30,102.63,$-18.64,0.0
2022-03-31,105.48,$-16.26,0.0
2021-12-31,100.82,$-19.50,0.0
2021-09-30,88.01,$-16.64,0.0
2021-06-30,87.59,$-18.12,0.0
2021-03-31,86.62,$-17.12,0.0
2020-12-31,86.07,$-11.20,0.0
2020-09-30,84.21,$-7.81,0.0
2020-06-30,79.45,$-6.94,0.0
2020-03-31,78.8,$-8.07,0.0
2019-12-31,99.75,$-8.38,0.0
2019-09-30,96.94,$-7.75,0.0
2019-06-30,84.3,$-9.43,0.0
2019-03-31,78.32,$-8.78,0.0
2018-12-31,69.78,$-8.50,0.0
2018-09-30,65.08,$-6.10,0.0
2018-06-30,64.12,$-4.99,0.0
2018-03-31,61.82,$-6.25,0.0
2017-12-31,63.09,$-4.99,0.0
2017-09-30,58.59,$-4.42,0.0
2017-06-30,58.25,$-2.75,0.0
2017-03-31,56.98,$1.10,51.69
2016-12-31,54.44,$-3.97,0.0
2016-09-30,56.17,$-0.24,0.0
2016-06-30,58.92,$0.40,145.74
2016-03-31,56.79,$0.96,58.97
2015-12-31,48.38,$7.27,6.66
2015-09-30,45.48,$5.76,7.89
2015-06-30,48.67,$7.85,6.2
2015-03-31,52.9,$8.51,6.22
2014-12-31,59.12,$9.88,5.99
2014-09-30,51.75,$11.17,4.63
2014-06-30,54.3,$9.88,5.5
2014-03-31,43.73,$8.07,5.42
2013-12-31,40.84,$5.78,7.07
2013-09-30,40.27,$-0.70,0.0
2013-06-30,43.86,$-1.43,0.0
2013-03-31,39.33,$-1.77,0.0
2012-12-31,39.14,$-1.07,0.0
2012-09-30,42.03,$2.37,17.72
2012-06-30,40.7,$3.87,10.52
2012-03-31,39.77,$3.60,11.05
2011-12-31,42.71,$2.48,17.21
2011-09-30,38.3,$3.09,12.41
2011-06-30,38.92,$5.76,6.76
2011-03-31,37.86,$8.30,4.56
2010-12-31,39.45,$10.39,3.8
2010-09-30,42.15,$10.93,3.86
2010-06-30,39.04,$7.57,5.16
2010-03-31,43.86,$6.71,6.54
2009-12-31,43.7,$5.12,8.54
