Globe Life Price to Free Cash Flow Ratio Historical Data,Globe Life Price to Free Cash Flow Ratio Historical Data,Globe Life Price to Free Cash Flow Ratio Historical Data,Globe Life Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,105.05,,7.29
2024-06-30,82.04,$14.42,5.69
2024-03-31,115.78,$13.67,8.47
2023-12-31,120.88,$14.87,8.13
2023-09-30,107.76,$14.59,7.39
2023-06-30,108.42,$15.30,7.08
2023-03-31,108.81,$14.99,7.26
2022-12-31,118.78,$14.09,8.43
2022-09-30,98.04,$14.01,7.0
2022-06-30,95.65,$13.93,6.87
2022-03-31,98.52,$14.06,7.01
2021-12-31,91.6,$13.56,6.75
2021-09-30,86.83,$13.63,6.37
2021-06-30,92.7,$12.90,7.19
2021-03-31,93.86,$13.72,6.84
2020-12-31,92.06,$13.38,6.88
2020-09-30,77.28,$12.66,6.11
2020-06-30,71.61,$12.90,5.55
2020-03-31,69.24,$11.22,6.17
2019-12-31,101.09,$11.87,8.52
2019-09-30,91.8,$11.80,7.78
2019-06-30,85.6,$11.49,7.45
2019-03-31,78.26,$11.23,6.97
2018-12-31,71.02,$10.69,6.64
2018-09-30,82.46,$10.70,7.71
2018-06-30,77.28,$10.87,7.11
2018-03-31,79.75,$11.22,7.11
2017-12-31,85.8,$11.84,7.25
2017-09-30,75.62,$12.39,6.1
2017-06-30,72.23,$12.49,5.78
2017-03-31,72.59,$12.29,5.91
2016-12-31,69.24,$11.22,6.17
2016-09-30,59.84,$10.89,5.5
2016-06-30,57.91,$9.96,5.81
2016-03-31,50.61,$9.15,5.53
2015-12-31,53.15,$8.54,6.22
2015-09-30,52.44,$7.21,7.28
2015-06-30,54.01,$6.82,7.92
2015-03-31,50.83,$6.57,7.74
2014-12-31,50.01,$6.44,7.77
2014-09-30,48.12,$7.20,6.68
2014-06-30,50.18,$7.51,6.68
2014-03-31,32.01,$7.90,4.05
2013-12-31,31.79,$7.94,4.0
2013-09-30,29.3,$7.11,4.12
2013-06-30,26.31,$6.87,3.83
2013-03-31,24.08,$6.56,3.67
2012-12-31,20.75,$6.39,3.25
2012-09-30,20.56,$5.67,3.62
2012-06-30,20.18,$5.55,3.64
2012-03-31,19.84,$5.39,3.68
2011-12-31,17.22,$5.20,3.31
2011-09-30,13.79,$5.80,2.38
2011-06-30,16.92,$5.66,2.99
2011-03-31,17.49,$5.58,3.13
2010-12-31,15.64,$5.52,2.83
2010-09-30,13.91,$6.11,2.28
2010-06-30,12.92,$5.81,2.22
2010-03-31,13.92,$5.66,2.46
2009-12-31,11.36,$5.19,2.19
