VICI Properties Price to Free Cash Flow Ratio Historical Data,VICI Properties Price to Free Cash Flow Ratio Historical Data,VICI Properties Price to Free Cash Flow Ratio Historical Data,VICI Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,33.48,,15.17
2024-06-30,28.64,$2.21,12.98
2024-03-31,29.36,$2.15,13.66
2023-12-31,30.97,$2.15,14.41
2023-09-30,27.9,$2.29,12.2
2023-06-30,29.73,$2.20,13.54
2023-03-31,30.47,$2.29,13.29
2022-12-31,29.88,$2.21,13.54
2022-09-30,27.21,$2.01,13.55
2022-06-30,26.83,$1.89,14.16
2022-03-31,25.32,$1.72,14.71
2021-12-31,26.43,$1.57,16.82
2021-09-30,24.63,$1.83,13.43
2021-06-30,26.58,$2.27,11.72
2021-03-31,23.94,$2.11,11.37
2020-12-31,21.36,$2.44,8.77
2020-09-30,19.33,$1.97,9.8
2020-03-31,13.37,$1.56,8.58
2019-12-31,20.16,$1.55,13.01
2019-09-30,17.66,$1.42,12.44
2019-06-30,16.96,$1.34,12.65
2019-03-31,16.62,$1.30,12.79
2018-12-31,14.08,$1.37,10.27
2018-09-30,15.96,$1.53,10.41
