Ralph Lauren Price to Free Cash Flow Ratio Historical Data,Ralph Lauren Price to Free Cash Flow Ratio Historical Data,Ralph Lauren Price to Free Cash Flow Ratio Historical Data,Ralph Lauren Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,171.26,,12.27
2024-06-30,175.06,$13.95,12.55
2024-03-31,186.88,$13.61,13.73
2023-12-31,142.95,$11.72,12.2
2023-09-30,114.49,$7.88,14.53
2023-06-30,120.82,$-1.16,0.0
2023-03-31,113.63,$-6.73,0.0
2022-12-31,102.25,$-1.76,0.0
2022-09-30,81.59,$-4.10,0.0
2022-03-31,107.16,$7.39,14.5
2021-12-31,111.6,$9.84,11.34
2021-09-30,103.62,$9.94,10.42
2021-06-30,109.29,$7.88,13.87
2021-03-31,113.6,$3.72,30.57
2020-12-31,95.69,$2.65,36.08
2020-09-30,62.7,$4.43,14.16
2020-06-30,66.89,$3.18,21.06
2020-03-31,61.64,$6.54,9.42
2019-12-31,107.13,$7.89,13.58
2019-09-30,86.75,$7.17,12.1
2019-06-30,102.46,$7.27,14.09
2019-03-31,116.27,$7.42,15.67
2018-12-31,92.31,$6.55,14.1
2018-09-30,121.98,$6.92,17.64
2018-06-30,110.99,$8.58,12.94
2018-03-31,98.21,$9.86,9.96
2017-12-31,90.68,$18.14,5.0
2017-09-30,76.84,$12.49,6.15
2017-06-30,63.87,$18.33,3.49
2017-03-31,70.15,$13.61,5.16
2022-06-30,85.39,$7.59,11.25
2016-12-31,77.17,$8.31,9.28
2016-09-30,85.93,$5.87,14.63
2016-06-30,75.76,$5.94,12.75
2016-03-31,80.91,$6.97,11.6
2015-12-31,93.23,$5.17,18.03
2015-09-30,98.37,$6.43,15.29
2015-06-30,109.69,$4.99,21.96
2015-03-31,108.58,$5.64,19.27
2014-12-31,152.32,$7.18,21.2
2014-09-30,135.18,$6.66,20.28
2014-06-30,131.51,$6.82,19.29
2014-03-31,131.33,$5.62,23.37
2013-12-31,143.68,$5.47,26.26
2013-09-30,133.7,$5.96,22.43
2013-06-30,140.67,$8.21,17.13
2013-03-31,136.45,$7.93,17.21
2012-12-31,120.53,$7.37,16.36
2012-09-30,121.26,$6.44,18.83
2012-06-30,112.01,$6.81,16.45
2012-03-31,139.01,$6.42,21.66
2011-12-31,109.98,$6.66,16.51
2011-09-30,103.15,$5.08,20.31
2011-06-30,105.32,$4.85,21.71
2011-03-31,98.06,$4.39,22.32
2010-12-31,87.82,$4.37,20.11
2010-09-30,71.08,$5.66,12.57
2010-06-30,57.65,$2.48,23.29
2010-03-31,67.1,$4.26,15.76
2009-12-31,63.83,$6.90,9.25
