Altria Price to Free Cash Flow Ratio Historical Data,Altria Price to Free Cash Flow Ratio Historical Data,Altria Price to Free Cash Flow Ratio Historical Data,Altria Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,53.77,,10.7
2024-06-30,45.55,$5.02,9.07
2024-03-31,42.68,$5.09,8.38
2023-12-31,38.59,$5.12,7.54
2023-09-30,39.27,$4.75,8.27
2023-06-30,41.38,$4.78,8.66
2023-03-31,39.91,$4.44,9.0
2022-12-31,40.02,$4.46,8.97
2022-09-30,34.64,$4.45,7.78
2022-06-30,35.04,$4.41,7.94
2022-03-31,43.0,$4.51,9.54
2021-12-31,38.34,$4.46,8.59
2021-09-30,36.13,$4.39,8.23
2021-06-30,37.16,$3.20,11.6
2021-03-31,39.17,$4.35,9.0
2020-12-31,30.85,$4.39,7.03
2020-09-30,28.49,$4.38,6.5
2020-06-30,28.37,$5.43,5.23
2020-03-31,27.37,$4.52,6.06
2019-12-31,34.43,$4.06,8.48
2019-09-30,27.75,$3.64,7.63
2019-06-30,31.5,$3.11,10.14
2019-03-31,37.61,$3.43,10.95
2018-12-31,31.89,$3.36,9.5
2018-09-30,38.3,$2.05,18.64
2017-12-31,43.74,$2.45,17.87
2017-09-30,38.49,$1.95,19.74
2017-06-30,44.73,$1.08,41.34
2017-03-31,42.55,$2.71,15.71
2016-12-31,39.96,$0.49,82.08
2018-06-30,35.6,$2.00,17.82
2016-09-30,37.03,$2.60,14.25
2016-06-30,40.0,$2.80,14.31
2016-03-31,36.04,$2.99,12.04
2015-12-31,33.17,$2.86,11.59
2015-09-30,30.7,$2.79,11.0
2015-06-30,27.31,$2.51,10.89
2015-03-31,27.63,$2.46,11.21
2014-12-31,26.95,$2.28,11.85
2014-09-30,24.87,$2.23,11.17
2014-06-30,22.44,$2.28,9.86
2014-03-31,19.79,$2.36,8.4
2013-12-31,20.03,$2.12,9.44
2013-09-30,17.7,$2.23,7.92
2013-06-30,17.79,$2.12,8.39
2013-03-31,17.27,$1.79,9.67
2012-12-31,15.58,$1.86,8.39
2012-09-30,16.32,$1.48,11.02
2012-06-30,16.67,$0.16,103.17
2012-03-31,14.71,$2.58,5.7
2011-12-31,13.94,$0.91,15.28
2011-09-30,12.44,$1.42,8.74
2018-03-31,38.59,$2.15,17.94
2011-06-30,12.06,$1.35,8.9
2011-03-31,11.72,$1.27,9.24
2010-12-31,10.92,$1.25,8.74
2010-09-30,10.5,$1.42,7.41
2010-06-30,8.62,$1.63,5.3
2010-03-31,8.67,$1.53,5.68
2009-12-31,8.16,$1.53,5.33
