Honeywell Price to Free Cash Flow Ratio Historical Data,Honeywell Price to Free Cash Flow Ratio Historical Data,Honeywell Price to Free Cash Flow Ratio Historical Data,Honeywell Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,207.91,,25.09
2024-06-30,212.38,$8.29,25.63
2024-03-31,203.08,$8.26,24.57
2023-12-31,206.37,$6.50,31.74
2023-09-30,180.73,$5.71,31.63
2023-06-30,201.9,$6.16,32.76
2023-03-31,184.98,$5.40,34.23
2022-12-31,206.32,$6.64,31.06
2022-09-30,159.97,$6.93,23.09
2022-06-30,165.7,$5.45,30.4
2022-03-31,184.56,$6.09,30.31
2021-12-31,196.72,$7.38,26.65
2021-09-30,199.41,$7.53,26.5
2021-06-30,205.23,$7.28,28.19
2021-03-31,202.25,$7.50,26.95
2020-12-31,197.29,$7.54,26.18
2020-09-30,151.97,$7.08,21.46
2020-06-30,132.73,$7.84,16.93
2020-03-31,121.95,$8.13,15.0
2019-12-31,160.44,$8.35,19.2
2019-09-30,152.6,$6.93,22.03
2019-06-30,157.46,$7.36,21.38
2019-03-31,142.63,$7.50,19.02
2018-12-31,117.94,$7.46,15.8
2018-09-30,143.12,$8.11,17.64
2018-06-30,123.3,$7.43,16.6
2018-03-31,123.07,$6.79,18.14
2017-12-31,129.98,$6.50,19.99
2017-09-30,119.52,$6.39,18.71
2017-06-30,111.86,$6.46,17.31
2017-03-31,104.26,$6.57,15.86
2016-12-31,96.22,$5.71,16.86
2016-09-30,95.71,$5.51,17.36
2016-06-30,95.0,$5.70,16.67
2016-03-31,91.04,$5.49,16.58
2015-12-31,83.67,$5.65,14.8
2015-09-30,76.05,$5.41,14.05
2015-06-30,81.5,$4.80,17.0
2015-03-31,82.97,$4.73,17.55
2014-12-31,79.08,$5.04,15.71
2014-09-30,73.31,$4.86,15.08
2014-06-30,72.83,$4.73,15.41
2014-03-31,72.32,$4.66,15.53
2013-12-31,70.9,$4.27,16.61
2013-09-30,64.11,$4.00,16.02
2013-06-30,60.94,$3.87,15.73
2013-03-31,57.58,$3.52,16.38
2012-12-31,48.22,$3.33,14.47
2012-09-30,45.08,$3.44,13.1
2012-06-30,41.86,$3.10,13.5
2012-03-31,45.47,$3.34,13.6
2011-12-31,39.98,$2.58,15.51
2011-09-30,32.08,$2.11,15.24
2011-06-30,43.22,$2.96,14.62
2011-03-31,43.06,$2.98,14.43
2010-12-31,38.12,$4.57,8.35
2010-09-30,31.31,$5.06,6.18
2010-06-30,27.62,$4.90,5.63
2010-03-31,31.82,$5.01,6.36
2009-12-31,27.34,$4.46,6.13
