Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,162.82,,39.84
2024-04-30,129.6,$4.09,31.71
2024-01-31,117.13,$4.22,27.77
2023-10-31,83.13,$4.13,20.13
2023-07-31,88.3,$4.12,21.41
2023-04-30,61.23,$4.02,15.22
2023-01-31,56.76,$3.98,14.25
2022-10-31,45.24,$3.86,11.73
2022-07-31,51.09,$3.56,14.35
2022-04-30,52.47,$3.38,15.51
2022-01-31,55.08,$3.19,17.25
2021-10-31,49.66,$3.11,15.99
2021-07-31,45.01,$3.07,14.64
2021-04-30,41.98,$2.99,14.04
2021-01-31,41.14,$2.93,14.05
2020-10-31,31.67,$2.75,11.5
2020-07-31,28.43,$2.55,11.16
2020-04-30,24.12,$2.41,9.99
2020-01-31,26.65,$2.27,11.72
2019-10-31,25.31,$2.23,11.34
2019-07-31,24.83,$2.28,10.87
2019-04-30,27.01,$2.20,12.28
2019-01-31,22.55,$2.05,10.98
2018-10-31,18.59,$1.97,9.44
2018-07-31,18.31,$1.91,9.57
2018-04-30,18.82,$1.73,10.89
2018-01-31,20.2,$1.10,18.31
2017-10-31,21.35,$1.04,20.51
2017-07-31,19.87,$0.65,30.48
2017-04-30,17.72,$0.42,42.46
2016-10-31,13.52,$0.70,19.23
2016-07-31,12.82,$0.78,16.34
2016-04-30,11.5,$0.85,13.61
2016-01-31,10.52,$0.92,11.43
2015-10-31,9.66,$0.99,9.79
2017-01-31,15.93,$0.69,23.05
2015-07-31,9.78,$0.52,18.95
2015-04-30,9.11,$0.45,20.03
2015-01-31,8.0,$0.34,23.41
2014-10-31,6.68,$0.29,23.28
2014-07-31,5.35,$0.29,18.5
2014-04-30,4.88,$0.23,21.47
2014-01-31,4.18,$0.22,19.42
2013-10-31,3.46,$0.19,17.94
2013-07-31,2.78,$0.19,14.77
2013-04-30,2.41,$0.19,13.0
2013-01-31,2.68,$0.19,14.03
2012-10-31,2.46,$0.18,13.62
2012-07-31,2.74,$0.19,14.6
2012-04-30,2.55,$0.33,7.75
2012-01-31,2.5,$0.28,8.91
2011-10-31,2.48,$0.32,7.73
2011-07-31,2.46,$0.30,8.1
2011-01-31,2.09,$0.18,11.8
2010-10-31,1.79,$0.18,10.17
2010-07-31,1.58,$0.03,52.07
2010-04-30,1.49,$0.09,16.49
