Eversource Energy Price to Free Cash Flow Ratio Historical Data,Eversource Energy Price to Free Cash Flow Ratio Historical Data,Eversource Energy Price to Free Cash Flow Ratio Historical Data,Eversource Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,67.53,,0.0
2024-06-30,56.71,$-7.27,0.0
2024-03-31,59.07,$-7.54,0.0
2023-12-31,60.27,$-7.69,0.0
2023-09-30,56.17,$-6.68,0.0
2023-06-30,67.77,$-4.94,0.0
2023-03-31,74.11,$-4.46,0.0
2022-12-31,78.67,$-3.00,0.0
2022-09-30,72.6,$-3.42,0.0
2022-06-30,78.09,$-3.77,0.0
2022-03-31,80.95,$-3.85,0.0
2021-12-31,82.86,$-3.52,0.0
2021-09-30,73.97,$-3.95,0.0
2021-06-30,72.09,$-4.33,0.0
2021-03-31,77.23,$-3.60,0.0
2020-12-31,76.57,$-3.71,0.0
2020-09-30,73.45,$-2.61,0.0
2020-06-30,72.71,$-2.54,0.0
2020-03-31,67.8,$-2.93,0.0
2019-12-31,73.3,$-2.79,0.0
2019-09-30,73.17,$-2.77,0.0
2019-06-30,64.45,$-2.00,0.0
2019-03-31,59.92,$-1.75,0.0
2018-12-31,54.51,$-2.33,0.0
2018-09-30,51.11,$-2.08,0.0
2018-06-30,48.36,$-2.06,0.0
2018-03-31,48.18,$-2.21,0.0
2017-12-31,51.22,$-1.11,0.0
2017-09-30,48.64,$-0.71,0.0
2017-06-30,48.48,$-0.41,0.0
2017-03-31,46.58,$0.27,175.31
2016-12-31,43.42,$0.73,59.75
2016-09-30,42.24,$-0.54,0.0
2016-06-30,46.31,$-0.96,0.0
2016-03-31,44.74,$-1.10,0.0
2015-12-31,38.85,$-0.91,0.0
