Garmin Price to Free Cash Flow Ratio Historical Data,Garmin Price to Free Cash Flow Ratio Historical Data,Garmin Price to Free Cash Flow Ratio Historical Data,Garmin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,183.29,,26.16
2024-06-30,162.92,$7.01,23.25
2024-03-31,148.18,$7.04,21.06
2023-12-31,127.31,$6.16,20.67
2023-09-30,103.59,$5.60,18.51
2023-06-30,102.0,$4.51,22.6
2023-03-31,98.03,$3.39,28.96
2022-12-31,88.97,$2.83,31.44
2022-09-30,76.84,$1.48,51.85
2022-06-30,93.23,$1.99,46.75
2022-03-31,111.67,$2.59,43.15
2021-12-31,127.43,$3.65,34.9
2021-09-30,144.75,$5.41,26.74
2021-06-30,134.15,$5.59,24.02
2021-03-31,121.72,$5.71,21.33
2020-12-31,109.94,$4.96,22.16
2020-09-30,86.7,$4.03,21.52
2020-06-30,88.57,$3.63,24.38
2020-03-31,67.65,$3.31,20.43
2019-12-31,87.4,$3.04,28.71
2019-09-30,75.43,$2.93,25.71
2019-06-30,70.6,$3.33,21.18
2019-03-31,75.85,$3.75,20.24
2018-12-31,55.27,$4.03,13.7
2018-09-30,60.66,$3.81,15.91
2018-06-30,52.42,$3.40,15.41
2018-03-31,50.2,$3.25,15.43
2017-12-31,50.32,$2.76,18.21
2017-09-30,45.2,$2.87,15.73
2017-06-30,42.33,$3.12,13.59
2017-03-31,41.98,$3.14,13.36
2016-12-31,39.44,$3.25,12.14
2016-09-30,38.74,$3.10,12.49
2016-06-30,33.79,$2.70,12.53
2016-03-31,31.44,$1.36,23.08
2015-12-31,28.87,$1.09,26.56
2015-09-30,27.48,$1.00,27.5
2015-06-30,33.17,$1.01,32.84
2015-03-31,35.48,$2.36,15.0
2014-12-31,39.06,$2.32,16.85
2014-09-30,38.09,$2.38,16.04
2014-06-30,44.22,$2.76,16.03
2014-03-31,39.8,$2.97,13.39
2013-12-31,32.99,$2.93,11.27
2013-09-30,31.97,$3.07,10.41
2013-06-30,25.32,$2.82,8.98
2013-03-31,22.83,$2.95,7.75
2012-12-31,27.79,$3.30,8.43
2012-09-30,28.15,$3.58,7.87
2012-06-30,25.55,$3.68,6.95
2012-03-31,30.98,$3.61,8.58
2011-12-31,26.03,$4.04,6.44
2011-09-30,20.56,$3.78,5.44
2011-06-30,21.12,$3.92,5.38
2011-03-31,21.13,$3.78,5.59
2010-12-31,19.34,$3.73,5.19
2010-09-30,18.94,$4.05,4.68
2010-06-30,18.21,$4.39,4.15
2010-03-31,23.15,$4.75,4.88
2009-12-31,18.4,$5.20,3.54
