Starbucks Price to Free Cash Flow Ratio Historical Data,Starbucks Price to Free Cash Flow Ratio Historical Data,Starbucks Price to Free Cash Flow Ratio Historical Data,Starbucks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,94.57,,28.21
2024-06-30,77.38,$3.35,23.08
2024-03-31,90.16,$3.45,26.11
2023-12-31,94.16,$3.92,24.01
2023-09-30,89.02,$3.29,27.08
2023-06-30,96.11,$2.67,35.94
2023-03-31,100.53,$2.47,40.63
2022-12-31,95.29,$1.90,50.05
2022-09-30,80.48,$2.21,36.48
2022-06-30,72.55,$2.62,27.74
2022-03-31,85.8,$3.07,27.95
2021-12-31,109.76,$3.77,29.11
2021-09-30,103.06,$3.81,27.04
2021-06-30,104.06,$3.92,26.58
2021-03-31,101.28,$2.09,48.57
2020-12-31,98.73,$0.16,603.14
2020-09-30,78.92,$0.10,816.97
2020-06-30,67.23,$-0.43,0.0
2020-03-31,59.74,$0.85,70.34
2019-12-31,79.52,$2.28,34.81
2019-09-30,79.58,$2.63,30.29
2019-06-30,75.16,$7.81,9.63
2019-03-31,66.65,$7.69,8.67
2018-12-31,57.44,$7.72,7.44
2018-09-30,50.43,$7.14,7.06
2018-06-30,43.04,$1.92,22.44
2018-03-31,50.74,$1.93,26.22
2017-12-31,50.06,$2.02,24.81
2017-09-30,46.57,$1.87,24.91
2017-06-30,50.33,$2.14,23.51
2017-03-31,50.19,$2.07,24.19
2016-12-31,47.51,$2.15,22.05
2016-09-30,46.12,$2.19,21.05
2016-06-30,48.48,$1.92,25.21
2016-03-31,50.49,$1.74,28.96
2015-12-31,50.61,$1.74,29.05
2015-09-30,47.76,$1.62,29.45
2015-06-30,44.93,$1.47,30.58
2015-03-31,39.55,$1.53,25.86
2014-12-31,34.14,$1.47,23.28
2014-09-30,31.27,$-0.36,0.0
2014-06-30,31.96,$-0.29,0.0
2014-03-31,30.19,$-0.40,0.0
2013-12-31,32.14,$-0.47,0.0
2013-09-30,31.45,$1.15,27.29
2013-06-30,26.69,$1.01,26.45
2013-03-31,23.13,$0.99,23.31
2012-12-31,21.7,$0.92,23.71
2012-09-30,20.43,$0.58,35.33
2012-06-30,21.4,$0.68,31.36
2012-03-31,22.36,$0.67,33.44
2011-12-31,18.35,$0.63,29.28
2011-09-30,14.81,$0.78,19.03
2011-06-30,15.63,$0.60,25.95
2011-03-31,14.57,$0.60,24.21
2010-12-31,12.62,$0.74,16.96
2010-09-30,9.99,$0.83,12.08
2010-06-30,9.45,$0.90,10.55
2010-03-31,9.4,$0.84,11.17
2009-12-31,8.93,$1.10,8.12
