Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data,Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data,Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data,Colgate-Palmolive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,106.5,,26.2
2024-06-30,96.55,$4.06,23.75
2024-03-31,89.08,$3.65,24.4
2023-12-31,78.39,$3.67,21.38
2023-09-30,69.47,$3.08,22.57
2023-06-30,74.8,$2.88,26.0
2023-03-31,72.51,$2.65,27.39
2022-12-31,75.55,$2.27,33.23
2022-09-30,66.91,$2.81,23.84
2022-06-30,75.86,$2.82,26.91
2022-03-31,71.37,$2.99,23.89
2021-12-31,79.89,$3.25,24.57
2021-09-30,70.33,$3.12,22.53
2021-06-30,75.29,$3.11,24.21
2021-03-31,72.56,$3.63,20.0
2020-12-31,78.27,$3.85,20.33
2020-09-30,70.23,$3.91,17.96
2020-06-30,66.3,$3.87,17.12
2020-03-31,59.7,$3.43,17.4
2019-12-31,61.55,$3.25,18.94
2019-09-30,65.31,$3.10,21.07
2019-06-30,63.3,$3.04,20.8
2019-03-31,60.16,$3.05,19.7
2018-12-31,51.89,$3.00,17.29
2018-09-30,57.98,$2.86,20.28
2018-06-30,55.77,$2.90,19.26
2018-03-31,61.31,$2.79,21.95
2017-12-31,64.21,$2.87,22.4
2017-09-30,61.65,$2.85,21.6
2017-06-30,62.39,$2.92,21.36
2017-03-31,61.27,$2.99,20.51
2016-12-31,54.46,$2.90,18.76
2016-09-30,61.37,$2.88,21.3
2016-06-30,60.27,$2.65,22.76
2016-03-31,57.85,$2.39,24.23
2015-12-31,54.23,$2.49,21.76
2015-09-30,51.36,$2.54,20.26
2015-06-30,52.64,$2.65,19.88
2015-03-31,55.5,$2.73,20.3
2014-12-31,55.09,$2.78,19.85
2014-09-30,51.64,$2.69,19.18
2014-06-30,53.7,$2.72,19.71
2014-03-31,50.82,$2.69,18.88
2013-12-31,50.82,$2.71,18.74
2013-09-30,45.96,$2.96,15.54
2013-06-30,44.15,$2.92,15.12
2013-03-31,45.22,$2.92,15.51
2012-12-31,39.83,$2.82,14.15
2012-09-30,40.61,$2.59,15.7
2012-06-30,39.2,$2.77,14.17
2012-03-31,36.59,$2.68,13.65
2011-12-31,34.35,$2.66,12.89
2011-09-30,32.77,$2.77,11.85
2011-06-30,32.08,$2.52,12.73
2011-03-31,29.43,$2.62,11.22
2010-12-31,29.09,$2.65,11.0
2010-09-30,27.63,$2.55,10.83
2010-06-30,28.14,$2.70,10.4
2010-03-31,30.27,$2.63,11.49
2009-12-31,29.0,$2.59,11.19
