Electronic Arts Price to Free Cash Flow Ratio Historical Data,Electronic Arts Price to Free Cash Flow Ratio Historical Data,Electronic Arts Price to Free Cash Flow Ratio Historical Data,Electronic Arts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,151.82,,22.22
2024-06-30,139.15,$6.83,20.37
2024-03-31,132.31,$7.78,17.01
2023-12-31,136.25,$7.91,17.23
2023-09-30,119.74,$7.29,16.42
2023-06-30,128.79,$6.46,19.92
2023-03-31,119.43,$4.83,24.72
2022-12-31,120.93,$4.13,29.27
2022-09-30,114.36,$5.48,20.87
2022-06-30,120.05,$6.14,19.55
2022-03-31,124.68,$5.98,20.84
2021-12-31,129.81,$5.80,22.4
2021-09-30,139.81,$4.34,32.24
2021-06-30,141.2,$4.39,32.18
2021-03-31,132.73,$6.20,21.41
2020-12-31,140.63,$6.57,21.4
2020-09-30,127.54,$6.48,19.67
2020-06-30,129.15,$6.40,20.17
2020-03-31,97.97,$5.62,17.44
2019-12-31,105.15,$5.90,17.81
2019-09-30,95.67,$5.31,18.03
2019-06-30,99.03,$4.76,20.8
2019-03-31,99.39,$4.67,21.3
2018-12-31,77.17,$4.71,16.39
2018-09-30,117.84,$4.32,27.27
2018-06-30,137.92,$4.91,28.11
2018-03-31,118.57,$5.08,23.34
2017-12-31,102.75,$4.39,23.39
2017-09-30,115.46,$5.38,21.45
2017-06-30,103.39,$5.59,18.49
2017-03-31,87.55,$4.63,18.89
2016-12-31,77.03,$5.16,14.94
2016-09-30,83.52,$4.28,19.54
2016-06-30,74.09,$3.94,18.81
2016-03-31,64.66,$4.16,15.55
2015-12-31,67.21,$2.95,22.77
2015-09-30,66.26,$2.23,29.77
2015-06-30,65.04,$2.78,23.41
2015-03-31,57.52,$2.99,19.23
2014-12-31,45.98,$3.31,13.9
2014-09-30,34.83,$3.37,10.32
2014-06-30,35.08,$2.76,12.7
2014-03-31,28.37,$1.95,14.58
2013-12-31,22.44,$1.80,12.49
2013-09-30,24.99,$0.74,33.87
2013-06-30,22.48,$0.67,33.65
2013-03-31,17.31,$0.70,24.85
2012-12-31,14.2,$0.76,18.68
2012-09-30,12.41,$0.99,12.51
2012-06-30,12.08,$0.44,27.54
2012-03-31,16.12,$0.39,41.35
2011-12-31,20.15,$0.37,55.0
2011-09-30,20.0,$0.08,258.07
2011-06-30,23.08,$0.36,63.79
2011-03-31,19.1,$0.79,24.15
2010-12-31,16.02,$0.80,20.07
2010-09-30,16.09,$0.42,38.49
2010-06-30,14.08,$0.81,17.44
2010-03-31,18.25,$0.25,74.12
2009-12-31,17.36,$-0.79,0.0
