D.R Horton Price to Free Cash Flow Ratio Historical Data,D.R Horton Price to Free Cash Flow Ratio Historical Data,D.R Horton Price to Free Cash Flow Ratio Historical Data,D.R Horton Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,188.76,,29.96
2024-06-30,140.69,$6.30,22.33
2024-03-31,163.93,$6.62,24.77
2023-12-31,151.09,$9.43,16.02
2023-09-30,106.6,$12.26,8.7
2023-06-30,120.46,$9.35,12.88
2023-03-31,96.48,$7.75,12.44
2022-12-31,87.81,$3.99,22.02
2022-09-30,66.16,$1.17,56.75
2022-06-30,64.82,$-0.47,0.0
2022-03-31,72.73,$-0.82,0.0
2021-12-31,105.59,$1.14,92.96
2021-09-30,81.57,$0.83,97.96
2021-06-30,87.61,$1.47,59.79
2021-03-31,86.23,$3.67,23.46
2020-12-31,66.52,$2.90,22.96
2020-09-30,72.79,$3.42,21.31
2020-06-30,53.23,$3.34,15.94
2020-03-31,32.53,$2.26,14.39
2019-12-31,50.32,$2.83,17.75
2019-09-30,50.12,$2.15,23.3
2019-06-30,40.88,$0.80,51.18
2019-03-31,39.09,$0.37,106.22
2018-12-31,32.61,$1.03,31.53
2018-09-30,39.52,$1.83,21.65
2018-06-30,38.31,$2.70,14.18
2018-03-31,40.84,$1.45,28.1
2017-12-31,47.45,$0.63,74.88
2017-09-30,37.01,$0.75,49.57
2017-06-30,31.95,$0.61,52.45
2017-03-31,30.69,$0.96,31.97
2016-12-31,25.1,$1.36,18.48
2016-09-30,27.64,$1.43,19.27
2016-06-30,28.74,$1.56,18.38
2016-03-31,27.52,$2.38,11.57
2015-12-31,29.07,$3.91,7.43
2015-09-30,26.58,$3.59,7.41
2015-06-30,24.72,$1.21,20.47
2015-03-31,25.66,$-0.45,0.0
2014-09-30,18.4,$-2.08,0.0
2014-06-30,21.97,$-2.00,0.0
2014-03-31,19.32,$-1.97,0.0
2013-12-31,19.89,$-1.76,0.0
2013-09-30,17.31,$-3.53,0.0
2013-06-30,18.96,$-3.58,0.0
2013-03-31,21.65,$-3.01,0.0
2012-12-31,17.62,$-2.74,0.0
2012-09-30,18.2,$-0.91,0.0
2012-06-30,16.18,$-0.93,0.0
2012-03-31,13.33,$-0.36,0.0
2011-12-31,11.05,$-0.29,0.0
2014-12-31,22.73,$-0.52,0.0
2011-09-30,7.9,$0.01,0.0
2011-06-30,10.02,$0.10,101.03
2011-03-31,10.1,$0.76,13.33
2010-12-31,10.31,$1.70,6.07
2010-09-30,9.58,$2.17,4.42
2010-06-30,8.44,$1.91,4.41
2010-03-31,10.79,$1.83,5.91
2009-12-31,9.28,$4.19,2.21
