Comcast Price to Free Cash Flow Ratio Historical Data,Comcast Price to Free Cash Flow Ratio Historical Data,Comcast Price to Free Cash Flow Ratio Historical Data,Comcast Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,39.57,,10.93
2024-06-30,38.84,$3.62,10.73
2024-03-31,42.68,$4.11,10.39
2023-12-31,42.89,$3.89,11.04
2023-09-30,43.08,$3.73,11.54
2023-06-30,40.09,$3.53,11.37
2023-03-31,36.3,$0.47,77.8
2022-12-31,33.23,$0.38,86.57
2022-09-30,27.63,$0.75,36.97
2022-06-30,36.72,$0.87,42.24
2021-12-31,46.6,$4.08,11.42
2021-09-30,51.56,$4.99,10.33
2021-06-30,52.34,$5.32,9.84
2021-03-31,49.44,$4.73,10.46
2020-12-31,47.66,$4.91,9.71
2022-03-31,43.57,$3.80,11.48
2020-09-30,41.86,$3.25,12.89
2020-06-30,35.27,$3.25,10.87
2020-03-31,30.93,$2.88,10.75
2019-12-31,40.0,$3.17,12.61
2019-09-30,39.91,$3.11,12.85
2019-06-30,37.25,$3.34,11.14
2019-03-31,35.04,$3.38,10.37
2018-12-31,29.84,$3.03,9.85
2018-09-30,30.87,$3.03,10.2
2018-06-30,28.44,$2.83,10.06
2018-03-31,29.45,$2.36,12.48
2017-12-31,34.39,$2.34,14.66
2017-09-30,32.9,$2.42,13.61
2017-06-30,33.28,$2.22,14.96
2017-03-31,31.88,$2.10,15.22
2016-12-31,29.28,$2.07,14.12
2016-09-30,27.9,$2.05,13.63
2016-06-30,27.3,$2.25,12.11
2016-03-31,25.47,$1.02,24.92
2015-12-31,23.42,$0.79,29.51
2015-09-30,23.51,$0.75,31.38
2015-06-30,24.86,$0.43,58.12
2014-12-31,23.68,$1.81,13.09
2014-09-30,21.95,$1.73,12.68
2014-06-30,21.82,$1.88,11.62
2014-03-31,20.26,$1.99,10.18
2013-12-31,20.94,$1.51,13.85
2015-03-31,23.25,$1.70,13.71
2013-09-30,18.11,$1.36,13.29
2013-06-30,16.61,$1.35,12.26
2013-03-31,16.62,$1.66,10.03
2012-12-31,14.79,$1.68,8.8
2012-09-30,14.03,$1.80,7.81
2012-06-30,12.55,$1.79,7.0
2012-03-31,11.65,$1.79,6.5
2011-12-31,9.21,$1.63,5.66
2011-09-30,8.04,$1.50,5.36
2011-06-30,9.7,$1.34,7.21
2011-03-31,9.42,$1.17,8.02
2010-12-31,8.34,$1.10,7.56
2010-09-30,6.82,$0.93,7.35
2010-06-30,6.52,$0.98,6.62
2010-03-31,7.03,$1.01,6.97
2009-12-31,6.26,$0.90,7.0
