Linde Price to Free Cash Flow Ratio Historical Data,Linde Price to Free Cash Flow Ratio Historical Data,Linde Price to Free Cash Flow Ratio Historical Data,Linde Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,478.25,,48.17
2024-06-30,438.81,$9.93,44.19
2024-03-31,464.32,$10.90,42.61
2023-12-31,410.71,$11.21,36.64
2023-09-30,372.35,$10.27,36.24
2023-06-30,381.08,$10.83,35.18
2023-03-31,355.44,$10.83,32.83
2022-12-31,326.18,$11.29,28.89
2022-09-30,269.59,$13.60,19.82
2022-06-30,286.33,$13.34,21.46
2022-03-31,316.98,$12.81,24.75
2021-12-31,342.36,$12.72,26.91
2021-09-30,288.99,$10.80,26.75
2021-06-30,283.82,$9.34,30.38
2021-03-31,274.06,$9.12,30.03
2020-12-31,256.68,$7.59,33.84
2020-09-30,231.07,$7.06,32.72
2020-06-30,205.06,$6.68,30.68
2020-03-31,166.48,$5.08,32.79
2019-12-31,204.87,$4.47,45.83
2019-09-30,185.6,$3.22,57.72
2019-06-30,191.5,$3.21,59.63
2019-03-31,166.97,$4.46,37.42
2018-12-31,147.33,$5.30,27.8
2018-09-30,150.96,$6.16,24.52
2018-06-30,148.54,$6.11,24.31
2018-03-31,134.85,$5.90,22.86
2017-12-31,143.77,$5.98,24.03
2017-09-30,129.89,$5.43,23.94
2017-06-30,122.47,$5.22,23.47
2017-03-31,109.58,$1.94,56.44
2016-12-31,107.56,$1.99,54.03
2016-09-30,110.9,$1.79,62.04
2016-06-30,102.53,$1.63,62.83
2015-12-31,92.78,$3.99,23.24
2015-09-30,92.29,$5.86,15.75
2015-06-30,107.57,$5.70,18.86
2015-03-31,108.65,$5.40,20.13
2014-12-31,116.58,$6.58,17.71
2016-03-31,103.7,$3.81,27.19
2014-09-30,116.08,$4.51,25.76
2014-06-30,119.53,$4.84,24.68
2014-03-31,117.28,$3.46,33.88
2013-12-31,116.43,$3.00,38.81
2013-09-30,107.12,$2.48,43.28
2013-06-30,102.1,$1.83,55.65
2013-03-31,98.38,$2.18,45.08
2012-12-31,96.03,$1.90,50.67
2012-09-30,90.67,$1.63,55.5
2012-06-30,94.41,$1.87,50.36
2012-03-31,99.0,$1.80,55.1
2011-12-31,91.85,$2.15,42.82
2011-09-30,79.93,$0.92,86.79
2011-06-30,92.2,$0.89,103.53
2011-03-31,86.0,$1.11,77.16
2010-12-31,80.4,$1.66,48.43
2010-09-30,75.65,$3.31,22.87
2010-06-30,63.36,$3.12,20.31
2010-03-31,68.8,$3.06,22.49
2009-12-31,66.18,$2.61,25.34
