Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,165.11,,163.38
2024-06-30,183.42,$1.01,181.5
2023-12-31,140.77,$5.11,27.55
2023-09-30,131.7,$7.55,17.43
2023-06-30,120.83,$7.13,16.95
2023-03-31,103.88,$6.70,15.51
2022-12-31,88.63,$6.34,13.97
2024-03-31,152.09,$4.40,34.54
2022-09-30,96.04,$4.42,21.71
2022-06-30,109.25,$4.56,23.96
2022-03-31,139.49,$4.79,29.11
2021-12-31,144.52,$4.63,31.19
2021-09-30,133.11,$4.53,29.41
2021-06-30,125.17,$4.01,31.19
2021-03-31,103.31,$3.47,29.78
2020-12-31,87.49,$2.92,29.95
2020-09-30,73.4,$1.14,64.47
2020-06-30,70.6,$2.11,33.5
2020-03-31,58.07,$1.95,29.71
2019-12-31,66.78,$2.08,32.13
2019-09-30,60.88,$3.09,19.73
2019-06-30,53.98,$1.85,29.17
2019-03-31,58.6,$1.72,34.0
2018-12-31,51.72,$1.52,33.99
2018-09-30,59.61,$1.52,39.24
2018-06-30,55.72,$1.41,39.38
2018-03-31,51.53,$0.14,368.87
2017-12-31,52.26,$0.27,191.71
2017-09-30,47.9,$0.38,125.69
2017-06-30,45.39,$0.43,106.02
2016-12-31,38.55,$1.74,22.11
2016-09-30,38.82,$1.97,19.75
2016-06-30,34.57,$1.94,17.84
2016-03-31,37.21,$1.72,21.65
2015-12-31,37.9,$1.68,22.6
2017-03-31,41.43,$1.29,32.19
2015-09-30,30.39,$1.05,28.98
2015-06-30,26.0,$1.04,25.05
2015-03-31,27.37,$0.92,29.77
2014-12-31,26.29,$0.81,32.34
