Mastercard Price to Free Cash Flow Ratio Historical Data,Mastercard Price to Free Cash Flow Ratio Historical Data,Mastercard Price to Free Cash Flow Ratio Historical Data,Mastercard Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,483.34,,41.27
2024-06-30,440.51,$11.71,37.61
2024-03-31,480.19,$11.26,42.65
2023-12-31,424.63,$11.51,36.88
2023-09-30,393.59,$10.28,38.3
2023-06-30,390.43,$10.79,36.18
2023-03-31,360.2,$10.52,34.23
2022-12-31,344.12,$10.40,33.09
2022-09-30,280.93,$10.55,26.62
2022-06-30,311.23,$9.16,33.97
2022-03-31,352.07,$8.91,39.5
2021-12-31,353.51,$8.72,40.55
2021-09-30,341.63,$7.83,43.63
2021-06-30,358.31,$6.99,51.26
2021-03-31,349.04,$6.17,56.62
2020-12-31,349.47,$6.48,53.95
2020-09-30,330.71,$7.11,46.49
2020-06-30,288.79,$7.73,37.34
2020-03-31,235.57,$7.79,30.22
2019-12-31,290.8,$7.29,39.87
2019-09-30,264.16,$5.71,46.25
2019-06-30,257.0,$3.04,84.66
2019-03-31,228.43,$3.28,69.61
2018-12-31,183.02,$3.71,49.34
2018-09-30,215.72,$3.74,57.69
2017-12-31,146.05,$4.89,29.87
2017-09-30,136.03,$4.21,32.31
2017-06-30,116.8,$3.86,30.28
2017-03-31,107.95,$3.57,30.27
2016-12-31,98.9,$3.86,25.59
2016-09-30,97.3,$3.84,25.31
2016-06-30,84.01,$3.67,22.87
2016-03-31,89.97,$3.45,26.09
2015-12-31,92.5,$3.31,27.98
2015-09-30,85.48,$2.90,29.51
2015-06-30,88.52,$3.00,29.51
2015-03-31,81.66,$2.93,27.84
2014-12-31,81.28,$2.63,30.92
2014-09-30,69.63,$3.02,23.06
2014-06-30,69.11,$2.94,23.52
2014-03-31,70.16,$2.92,24.04
2013-12-31,78.45,$3.16,24.85
2013-09-30,63.12,$2.31,27.38
2013-06-30,53.85,$1.88,28.68
2013-03-31,50.66,$2.08,24.33
2012-12-31,45.97,$1.87,24.53
2018-06-30,190.2,$2.17,87.78
2012-09-30,42.22,$2.08,20.28
2012-06-30,40.19,$1.86,21.66
2012-03-31,39.27,$2.25,17.46
2011-12-31,34.8,$2.34,14.86
2011-09-30,29.59,$2.05,14.46
2018-03-31,169.28,$1.98,85.59
2011-06-30,28.1,$1.54,18.28
2011-03-31,23.46,$1.37,17.06
2010-12-31,20.87,$1.18,17.69
2010-09-30,20.85,$0.89,23.47
2010-06-30,18.56,$0.69,27.01
2010-03-31,23.61,$0.71,33.2
2009-12-31,23.78,$0.95,24.97
