Visa Price to Free Cash Flow Ratio Historical Data,Visa Price to Free Cash Flow Ratio Historical Data,Visa Price to Free Cash Flow Ratio Historical Data,Visa Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,276.37,,33.09
2024-06-30,261.95,$8.35,31.36
2024-03-31,278.01,$8.51,32.67
2023-12-31,258.86,$8.21,31.53
2023-09-30,228.21,$8.42,27.11
2023-06-30,235.18,$7.92,29.7
2023-03-31,222.84,$7.67,29.07
2022-12-31,204.94,$7.46,27.47
2022-09-30,174.84,$7.48,23.38
2022-06-30,193.43,$6.69,28.91
2022-03-31,217.45,$6.32,34.42
2021-12-31,212.14,$6.26,33.88
2021-09-30,217.67,$5.94,36.62
2021-06-30,228.17,$5.18,44.07
2021-03-31,206.32,$4.59,44.93
2020-12-31,212.82,$3.80,55.95
2020-09-30,194.27,$3.91,49.63
2020-06-30,187.38,$4.64,40.39
2020-03-31,156.02,$4.75,32.82
2019-12-31,181.69,$5.00,36.33
2019-09-30,166.05,$4.76,34.91
2019-06-30,167.54,$4.52,37.08
2019-03-31,150.55,$4.64,32.42
2018-12-31,126.95,$4.93,25.73
2018-09-30,144.16,$4.73,30.5
2018-06-30,127.03,$4.48,28.35
2018-03-31,114.54,$4.35,26.33
2017-12-31,108.99,$3.40,32.05
2017-09-30,100.42,$3.25,30.91
2017-06-30,89.34,$3.09,28.88
2017-03-31,84.51,$1.89,44.66
2016-12-31,74.06,$2.07,35.78
2016-09-30,78.34,$1.89,41.53
2016-06-30,70.14,$1.61,43.47
2016-03-31,72.19,$2.30,31.41
2015-12-31,73.06,$2.35,31.05
2015-09-30,65.51,$2.27,28.88
2015-06-30,63.05,$2.24,28.12
2015-03-31,61.31,$2.16,28.44
2014-12-31,61.33,$2.59,23.64
2014-09-30,49.81,$2.38,20.92
2014-06-30,49.1,$2.53,19.37
2014-03-31,50.2,$2.41,20.8
2013-12-31,51.69,$2.05,25.28
2013-09-30,44.27,$0.88,50.28
2013-06-30,42.26,$0.50,85.33
2013-03-31,39.21,$0.25,155.45
2012-12-31,34.92,$0.13,279.1
2012-09-30,30.86,$1.20,25.67
2012-06-30,28.36,$1.06,26.88
2012-03-31,27.02,$1.09,24.88
2011-12-31,23.2,$0.94,24.6
2011-09-30,19.55,$0.86,22.71
2011-06-30,19.18,$0.86,22.21
2011-03-31,16.72,$0.80,20.96
2010-12-31,15.96,$0.79,20.09
2010-09-30,16.8,$0.56,30.03
2010-06-30,15.98,$0.32,50.65
2010-03-31,20.53,$0.11,192.25
2009-12-31,19.7,$0.04,492.43
