Dominion Energy Price to Free Cash Flow Ratio Historical Data,Dominion Energy Price to Free Cash Flow Ratio Historical Data,Dominion Energy Price to Free Cash Flow Ratio Historical Data,Dominion Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,55.9,,0.0
2024-06-30,48.42,$-5.82,0.0
2024-03-31,48.61,$-0.04,0.0
2023-12-31,45.81,$-4.35,0.0
2023-09-30,42.9,$-3.99,0.0
2023-06-30,49.07,$-4.61,0.0
2023-03-31,52.26,$-4.27,0.0
2022-12-31,56.63,$-4.72,0.0
2022-09-30,63.12,$-4.73,0.0
2022-06-30,72.31,$-3.94,0.0
2022-03-31,76.38,$-3.13,0.0
2021-12-31,70.04,$-2.38,0.0
2021-09-30,64.53,$-2.18,0.0
2021-06-30,64.5,$-1.74,0.0
2021-03-31,66.05,$-1.00,0.0
2020-12-31,64.79,$-0.95,0.0
2020-09-30,67.47,$0.13,532.06
2020-06-30,68.57,$0.29,236.62
2020-03-31,60.31,$0.27,225.21
2019-12-31,68.4,$0.28,247.02
2019-09-30,66.18,$0.51,130.46
2019-06-30,62.41,$0.46,134.9
2019-03-31,61.14,$0.81,75.73
2018-12-31,56.29,$0.79,71.03
2018-09-30,54.75,$0.04,1332.19
2018-06-30,52.51,$-0.38,0.0
2018-03-31,51.27,$-1.26,0.0
2017-12-31,60.93,$-1.58,0.0
2017-09-30,57.3,$-2.00,0.0
2017-06-30,56.53,$-1.92,0.0
2017-03-31,56.7,$-2.74,0.0
2016-12-31,55.43,$-3.13,0.0
2016-09-30,53.24,$-3.39,0.0
2016-06-30,55.34,$-3.33,0.0
2016-03-31,52.83,$-2.56,0.0
2015-12-31,47.09,$-1.85,0.0
2015-09-30,48.53,$-1.28,0.0
2015-06-30,45.7,$-2.00,0.0
2015-03-31,47.99,$-2.43,0.0
2014-12-31,51.61,$-3.26,0.0
2014-09-30,45.99,$-3.36,0.0
2014-06-30,47.2,$-2.45,0.0
2014-03-31,46.44,$-1.98,0.0
2013-12-31,41.96,$-1.09,0.0
2013-09-30,40.18,$-1.03,0.0
2013-06-30,36.18,$-1.03,0.0
2013-03-31,36.67,$-0.88,0.0
2012-12-31,32.32,$-0.01,0.0
2012-09-30,32.69,$0.22,146.53
2012-06-30,33.02,$0.21,161.05
2012-03-31,30.99,$-0.22,0.0
2011-12-31,31.79,$-1.16,0.0
2011-09-30,30.12,$-2.02,0.0
2011-06-30,28.36,$-2.89,0.0
2011-03-31,25.99,$-3.77,0.0
2010-12-31,24.57,$-2.71,0.0
2010-09-30,24.84,$-1.32,0.0
2010-06-30,21.81,$-0.70,0.0
2010-03-31,22.87,$0.06,407.68
2009-12-31,21.4,$-0.09,0.0
