Charles Schwab Price to Free Cash Flow Ratio Historical Data,Charles Schwab Price to Free Cash Flow Ratio Historical Data,Charles Schwab Price to Free Cash Flow Ratio Historical Data,Charles Schwab Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,65.1,,13.42
2024-06-30,73.4,$4.85,15.13
2024-03-31,71.81,$4.28,16.8
2023-12-31,68.03,$10.32,6.59
2023-09-30,54.03,$-1.81,0.0
2023-06-30,55.57,$5.70,9.74
2023-03-31,51.09,$4.35,11.75
2022-12-31,80.95,$0.57,141.18
2022-09-30,69.68,$4.60,15.15
2022-06-30,61.07,$0.82,74.31
2022-03-31,81.24,$-2.25,0.0
2021-12-31,80.87,$5.94,13.61
2021-09-30,69.88,$2.97,23.5
2021-06-30,69.69,$-10.74,0.0
2020-12-31,50.48,$4.34,11.64
2020-09-30,34.34,$3.82,8.98
2020-06-30,31.81,$1.38,23.03
2020-03-31,31.53,$18.19,1.73
2019-12-31,44.44,$12.01,3.7
2021-03-31,62.23,$0.84,74.05
2019-09-30,38.93,$9.06,4.3
2019-06-30,37.24,$5.92,6.29
2019-03-31,39.47,$6.61,5.97
2018-12-31,38.19,$8.73,4.37
2018-09-30,45.08,$0.59,76.45
2018-06-30,46.74,$2.13,21.91
2018-03-31,47.69,$0.40,118.25
2017-12-31,46.82,$-0.92,0.0
2017-09-30,39.79,$3.53,11.27
2017-06-30,39.01,$0.69,56.63
2017-03-31,36.98,$1.53,24.1
2016-12-31,35.69,$2.44,14.62
2016-09-30,28.49,$1.15,24.74
2016-06-30,22.79,$2.38,9.56
2016-03-31,25.16,$1.45,17.39
2015-12-31,29.5,$0.74,39.94
2015-09-30,25.53,$0.70,36.51
2015-06-30,29.14,$0.58,50.64
2015-03-31,27.11,$-0.63,0.0
2014-12-31,26.83,$0.98,27.37
2014-09-30,26.07,$0.85,30.53
2014-06-30,23.84,$0.58,41.01
2013-12-31,22.9,$1.09,21.05
2013-09-30,18.57,$1.37,13.6
2013-06-30,18.6,$0.92,20.26
2013-03-31,15.45,$1.00,15.42
2012-12-31,12.49,$1.04,12.0
2014-03-31,24.13,$0.22,109.3
2012-09-30,11.07,$0.54,20.46
2012-06-30,11.15,$0.10,117.23
2012-03-31,12.33,$0.85,14.44
2011-12-31,9.62,$1.86,5.18
2011-09-30,9.58,$1.11,8.64
2011-06-30,13.92,$1.22,11.41
2011-03-31,15.2,$1.45,10.47
2010-12-31,14.38,$-0.12,0.0
2010-09-30,11.64,$0.91,12.78
2010-06-30,11.82,$0.41,28.85
2010-03-31,15.54,$0.49,31.83
2009-12-31,15.59,$1.12,13.94
