FedEx Price to Free Cash Flow Ratio Historical Data,FedEx Price to Free Cash Flow Ratio Historical Data,FedEx Price to Free Cash Flow Ratio Historical Data,FedEx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,298.77,,22.8
2024-05-31,252.6,$13.10,19.28
2024-02-29,246.38,$13.63,18.07
2023-11-30,254.96,$16.66,15.3
2023-08-31,255.85,$13.34,19.19
2023-05-31,212.46,$10.86,19.57
2023-02-28,196.95,$8.56,23.01
2022-11-30,175.43,$8.42,20.84
2022-08-31,201.86,$11.33,17.82
2022-05-31,214.03,$12.03,17.8
2022-02-28,211.09,$11.73,17.99
2021-11-30,218.12,$10.87,20.06
2021-08-31,250.86,$13.52,18.55
2021-05-31,296.47,$16.24,18.25
2021-02-28,239.07,$14.67,16.3
2020-11-30,268.6,$10.66,25.19
2020-08-31,205.45,$1.05,195.29
2020-05-31,121.4,$-1.44,0.0
2020-02-29,130.61,$-3.88,0.0
2019-11-30,147.46,$-3.05,0.0
2019-05-31,141.02,$0.78,181.4
2019-02-28,164.82,$-1.64,0.0
2018-11-30,207.86,$-4.99,0.0
2018-08-31,220.85,$-11.18,0.0
2018-05-31,224.92,$-12.13,0.0
2019-08-31,145.55,$-13.56,0.0
2018-02-28,222.03,$-6.71,0.0
2017-11-30,208.12,$-4.47,0.0
2017-08-31,192.31,$-0.96,0.0
2017-05-31,173.47,$-0.19,0.0
2017-02-28,172.34,$-1.41,0.0
2016-11-30,170.82,$3.69,46.25
2016-08-31,146.64,$2.13,68.73
2016-05-31,146.31,$3.15,46.39
2016-02-29,121.18,$2.61,46.4
2015-11-30,140.12,$2.36,59.34
2015-08-31,132.89,$2.86,46.46
2015-05-31,152.63,$3.63,42.0
2015-02-28,155.77,$4.07,38.23
2014-11-30,156.65,$3.54,44.2
2014-08-31,129.84,$2.19,59.4
2014-05-31,126.39,$2.42,52.31
2014-02-28,116.77,$2.60,44.84
2013-11-30,121.34,$4.60,26.39
2013-08-31,93.79,$2.62,35.79
2013-05-31,84.04,$4.03,20.87
2013-02-28,91.85,$1.97,46.58
2012-11-30,78.0,$0.29,265.11
2012-05-31,77.28,$2.85,27.16
2012-02-29,77.91,$2.73,28.5
2011-11-30,71.81,$2.16,33.29
2011-08-31,67.93,$0.90,75.85
2011-05-31,80.68,$2.21,36.47
2012-08-31,76.1,$-0.91,0.0
2011-02-28,77.45,$0.54,143.03
2010-11-30,78.4,$1.51,51.8
2010-08-31,66.97,$0.32,209.46
2010-05-31,71.53,$1.14,62.92
2010-02-28,72.53,$0.19,380.91
2009-11-30,72.17,$0.68,106.21
