Northern Trust Price to Free Cash Flow Ratio Historical Data,Northern Trust Price to Free Cash Flow Ratio Historical Data,Northern Trust Price to Free Cash Flow Ratio Historical Data,Northern Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,91.21,,4.37
2024-06-30,83.98,$20.89,4.02
2024-03-31,88.12,$5.78,15.24
2023-12-31,82.86,$12.09,6.85
2023-09-30,67.59,$18.49,3.66
2023-06-30,71.42,$13.78,5.18
2023-03-31,84.05,$6.54,12.85
2022-12-31,83.67,$10.84,7.72
2022-09-30,80.21,$0.87,92.62
2022-06-30,89.76,$7.44,12.06
2022-03-31,107.64,$9.21,11.68
2021-12-31,109.83,$6.03,18.2
2021-09-30,98.41,$3.31,29.75
2021-06-30,104.9,$0.63,165.8
2021-03-31,94.8,$21.68,4.37
2020-12-31,83.43,$8.43,9.9
2020-09-30,69.31,$8.58,8.07
2020-06-30,69.91,$11.70,5.98
2020-03-31,65.93,$-2.99,0.0
2019-12-31,91.8,$11.29,8.13
2019-09-30,80.13,$6.00,13.36
2019-06-30,76.72,$9.80,7.83
2019-03-31,76.55,$10.87,7.04
2018-12-31,70.3,$7.44,9.45
2018-09-30,85.36,$9.25,9.23
2018-06-30,85.54,$5.16,16.57
2018-03-31,85.4,$1.62,52.68
2017-12-31,82.4,$7.09,11.62
2017-09-30,75.51,$6.93,10.9
2017-06-30,79.46,$9.64,8.25
2017-03-31,70.47,$10.78,6.54
2016-12-31,72.17,$6.10,11.82
2016-09-30,54.85,$8.27,6.63
2016-06-30,53.17,$-1.25,0.0
2016-03-31,52.04,$4.10,12.71
2015-12-31,57.24,$7.41,7.72
2015-09-30,53.85,$0.28,191.91
2015-06-30,60.1,$3.56,16.87
2015-03-31,54.49,$3.37,16.15
2014-12-31,52.48,$3.59,14.61
2014-09-30,52.71,$4.29,12.29
2014-06-30,49.52,$14.90,3.32
2014-03-31,50.29,$4.05,12.41
2013-12-31,47.24,$3.11,15.2
2013-09-30,41.28,$3.87,10.68
2013-06-30,43.71,$-4.54,0.0
2013-03-31,40.97,$1.23,33.23
2012-12-31,37.46,$3.08,12.17
2012-09-30,34.44,$8.75,3.93
2012-06-30,33.93,$4.73,7.18
2012-03-31,34.74,$7.62,4.56
2011-12-31,28.85,$4.79,6.03
2011-09-30,25.27,$-1.47,0.0
2011-06-30,32.96,$2.07,15.91
2011-03-31,36.17,$3.09,11.72
2010-12-31,39.28,$2.89,13.62
2010-09-30,34.02,$4.87,6.98
2010-06-30,32.74,$5.69,5.76
2010-03-31,38.52,$2.03,19.0
2009-12-31,36.34,$3.73,9.74
