Wynn Resorts Price to Free Cash Flow Ratio Historical Data,Wynn Resorts Price to Free Cash Flow Ratio Historical Data,Wynn Resorts Price to Free Cash Flow Ratio Historical Data,Wynn Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,76.88,,8.89
2024-06-30,89.21,$8.65,10.31
2024-03-31,101.63,$8.70,11.68
2023-12-31,90.36,$7.14,12.65
2023-09-30,91.39,$4.76,19.21
2023-06-30,104.17,$2.54,41.08
2023-03-31,110.13,$-1.00,0.0
2022-12-31,81.16,$-3.26,0.0
2022-09-30,62.03,$-4.53,0.0
2022-06-30,56.07,$-4.56,0.0
2022-03-31,78.47,$-3.68,0.0
2021-12-31,83.69,$-4.47,0.0
2021-09-30,83.4,$-6.57,0.0
2021-06-30,120.35,$-8.03,0.0
2021-03-31,123.37,$-12.29,0.0
2020-12-31,111.03,$-12.58,0.0
2020-09-30,70.67,$-10.31,0.0
2020-06-30,73.3,$-7.79,0.0
2020-03-31,59.23,$-4.02,0.0
2019-12-31,135.47,$-1.51,0.0
2019-09-30,105.17,$0.82,127.53
2019-06-30,118.79,$1.78,66.57
2019-03-31,113.37,$0.81,140.07
2018-12-31,93.41,$-4.30,0.0
2018-09-30,119.11,$-2.98,0.0
2018-06-30,156.03,$-2.10,0.0
2018-03-31,169.37,$1.00,169.56
2017-12-31,156.11,$9.37,16.66
2017-09-30,137.44,$6.49,21.17
2017-06-30,123.31,$3.47,35.54
2017-03-31,104.95,$1.90,55.12
2016-12-31,78.82,$-2.47,0.0
2016-09-30,88.25,$-5.33,0.0
2016-06-30,81.7,$-7.35,0.0
2016-03-31,83.75,$-9.53,0.0
2015-12-31,61.62,$-13.26,0.0
2015-09-30,46.96,$-14.14,0.0
2015-06-30,86.82,$-10.12,0.0
2015-03-31,110.27,$-6.50,0.0
2014-12-31,129.04,$-0.89,0.0
2014-09-30,160.02,$4.88,32.82
2014-06-30,176.44,$6.13,28.8
2014-03-31,187.7,$8.40,22.35
2013-12-31,163.18,$11.63,14.03
2013-09-30,129.59,$10.35,12.53
2013-06-30,104.21,$10.77,9.68
2013-03-31,101.19,$9.98,10.14
2012-12-31,90.21,$9.07,9.95
2012-09-30,86.38,$10.29,8.39
2012-06-30,77.2,$9.80,7.88
2012-03-31,92.5,$10.94,8.45
2011-12-31,81.47,$10.60,7.68
2011-09-30,80.93,$11.17,7.24
2011-06-30,100.63,$10.55,9.54
2011-03-31,88.85,$8.14,10.92
2010-12-31,72.55,$6.24,11.63
2010-09-30,56.26,$3.83,14.68
2010-06-30,49.32,$3.45,14.31
2010-03-31,48.88,$1.97,24.86
2009-12-31,37.54,$0.45,83.34
