Marathon Oil Price to Free Cash Flow Ratio Historical Data,Marathon Oil Price to Free Cash Flow Ratio Historical Data,Marathon Oil Price to Free Cash Flow Ratio Historical Data,Marathon Oil Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,28.65,,8.53
2024-06-30,28.56,$3.36,8.5
2024-03-31,28.11,$3.28,8.56
2023-12-31,23.85,$3.34,7.14
2023-09-30,26.3,$3.28,8.03
2023-06-30,22.54,$4.14,5.44
2023-03-31,23.36,$5.33,4.38
2022-12-31,26.29,$5.81,4.53
2022-09-30,21.87,$5.85,3.74
2022-06-30,21.7,$4.71,4.61
2022-03-31,24.17,$3.29,7.34
2021-12-31,15.75,$2.81,5.6
2021-09-30,13.07,$1.93,6.77
2021-06-30,12.96,$1.51,8.56
2021-03-31,10.13,$0.63,16.12
2020-12-31,6.31,$0.21,30.64
2020-09-30,3.85,$0.09,41.49
2020-06-30,5.76,$-0.29,0.0
2020-03-31,3.09,$0.39,7.94
2019-12-31,12.71,$0.20,64.74
2019-09-30,11.43,$0.44,25.87
2019-06-30,13.19,$0.86,15.35
2019-03-31,15.46,$0.66,23.59
2018-12-31,13.23,$2.03,6.52
2018-09-30,21.41,$1.51,14.15
2018-06-30,19.13,$1.25,15.27
2018-03-31,14.76,$3.01,4.91
2017-12-31,15.44,$2.09,7.39
2017-09-30,12.33,$2.77,4.45
2017-06-30,10.73,$2.99,3.59
2017-03-31,14.25,$1.99,7.16
2016-12-31,15.57,$1.12,13.92
2016-09-30,14.17,$0.52,27.07
2016-06-30,13.41,$0.21,62.46
2016-03-31,9.91,$-1.30,0.0
2015-12-31,11.13,$-2.49,0.0
2015-09-30,13.58,$-0.75,0.0
2015-06-30,23.12,$-0.15,0.0
2015-03-31,22.57,$0.57,39.34
2014-12-31,24.28,$5.98,4.06
2014-09-30,32.05,$4.63,6.92
2014-06-30,33.86,$5.12,6.62
2014-03-31,29.97,$4.79,6.25
2013-12-31,29.61,$1.80,16.44
2013-09-30,29.11,$2.38,12.26
2013-06-30,28.69,$0.94,30.56
2013-03-31,27.84,$0.67,41.49
2012-12-31,25.19,$0.17,145.45
2012-09-30,24.16,$0.15,156.2
2012-06-30,20.77,$1.07,19.32
2012-03-31,25.57,$3.31,7.73
2011-12-31,23.49,$5.68,4.14
2011-09-30,17.23,$7.71,2.24
2011-06-30,25.69,$7.21,3.56
2011-03-31,25.87,$6.61,3.91
2010-12-31,17.88,$5.19,3.44
2010-09-30,15.86,$7.36,2.15
2010-06-30,14.78,$7.20,2.05
2010-03-31,14.93,$6.04,2.47
2009-12-31,14.61,$3.84,3.8
