AES Price to Free Cash Flow Ratio Historical Data,AES Price to Free Cash Flow Ratio Historical Data,AES Price to Free Cash Flow Ratio Historical Data,AES Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,17.13,,0.0
2024-06-30,17.4,$-7.71,0.0
2024-03-31,17.59,$-7.90,0.0
2023-12-31,18.69,$-6.59,0.0
2023-09-30,14.6,$-5.45,0.0
2023-06-30,19.75,$-4.86,0.0
2023-03-31,22.79,$-3.61,0.0
2022-12-31,27.05,$-2.75,0.0
2022-09-30,21.13,$-1.60,0.0
2022-06-30,19.51,$-0.92,0.0
2022-03-31,23.71,$-0.49,0.0
2021-12-31,22.23,$-0.32,0.0
2021-09-30,20.77,$-0.01,0.0
2021-06-30,23.56,$0.90,26.04
2021-03-31,24.1,$1.29,18.65
2020-12-31,21.0,$1.28,16.41
2020-09-30,16.06,$0.91,17.7
2020-06-30,12.73,$-0.06,0.0
2020-03-31,11.82,$-0.47,0.0
2019-12-31,17.18,$0.09,187.73
2019-09-30,13.99,$0.43,32.37
2019-06-30,14.24,$0.37,38.15
2019-03-31,15.24,$0.58,26.16
2018-12-31,12.08,$0.33,36.2
2018-09-30,11.6,$0.48,24.16
2018-06-30,11.0,$0.64,17.17
2018-03-31,9.23,$0.17,54.11
2017-12-31,8.69,$0.50,17.55
2017-09-30,8.75,$0.39,22.67
2017-06-30,8.73,$0.43,20.33
2017-03-31,8.69,$1.19,7.29
2016-12-31,8.94,$0.84,10.68
2016-09-30,9.79,$0.64,15.37
2016-06-30,9.42,$0.74,12.68
2016-03-31,8.82,$0.01,0.0
2015-12-31,7.07,$-0.25,0.0
2015-09-30,7.17,$-0.38,0.0
2015-06-30,9.64,$-0.54,0.0
2015-03-31,9.27,$-0.32,0.0
2014-12-31,9.85,$-0.31,0.0
2014-09-30,10.11,$-0.24,0.0
2014-06-30,11.05,$-0.11,0.0
2014-03-31,10.11,$0.43,23.6
2013-12-31,10.24,$0.97,10.53
2013-09-30,9.35,$1.39,6.71
2013-06-30,8.41,$1.53,5.48
2013-03-31,8.79,$1.46,6.01
2012-12-31,7.45,$1.11,6.71
2012-09-30,7.61,$0.74,10.35
2012-06-30,8.9,$0.56,15.92
2012-03-31,9.07,$0.64,14.11
2011-12-31,8.22,$0.73,11.27
2011-09-30,6.77,$1.13,6.0
2011-06-30,8.84,$1.23,7.18
2011-03-31,9.02,$1.31,6.9
2010-12-31,8.45,$1.52,5.55
2010-09-30,7.88,$0.50,15.8
2010-06-30,6.41,$0.55,11.67
2010-03-31,7.63,$0.14,54.68
2009-12-31,9.24,$-0.44,0.0
