Zoetis Price to Free Cash Flow Ratio Historical Data,Zoetis Price to Free Cash Flow Ratio Historical Data,Zoetis Price to Free Cash Flow Ratio Historical Data,Zoetis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,183.49,,165.99
2024-06-30,172.94,$1.11,156.45
2023-12-31,195.9,$3.52,55.73
2023-09-30,172.27,$3.83,44.93
2023-06-30,170.15,$3.57,47.68
2023-03-31,164.09,$4.32,37.95
2022-12-31,144.15,$4.02,35.83
2024-03-31,168.33,$2.61,64.6
2022-09-30,145.55,$2.69,54.2
2022-06-30,168.4,$3.01,55.92
2022-03-31,184.44,$3.38,54.58
2021-12-31,238.28,$3.65,65.36
2021-09-30,189.34,$3.75,50.43
2021-06-30,181.53,$3.56,51.05
2021-03-31,153.17,$3.52,43.53
2020-12-31,160.72,$3.54,45.41
2020-09-30,160.39,$3.22,49.79
2020-06-30,132.73,$3.13,42.47
2020-03-31,113.81,$2.84,40.12
2019-12-31,127.8,$2.81,45.41
2019-09-30,120.15,$2.96,40.59
2019-06-30,109.29,$3.12,35.08
2019-03-31,96.79,$3.07,31.53
2018-12-31,82.08,$3.10,26.5
2018-09-30,87.73,$3.22,27.22
2018-06-30,81.51,$3.03,26.86
2018-03-31,79.78,$2.90,27.54
2017-12-31,68.71,$2.35,29.24
2017-09-30,60.72,$1.67,36.37
2017-06-30,59.41,$1.24,47.82
2017-03-31,50.64,$1.17,43.23
2016-12-31,50.69,$1.18,43.03
2016-09-30,49.15,$1.12,44.08
2016-06-30,44.85,$1.05,42.74
2016-03-31,41.72,$1.01,41.28
2015-12-31,45.0,$0.88,51.12
2015-09-30,38.61,$1.16,33.29
2015-06-30,45.13,$0.98,46.02
2015-03-31,43.24,$1.07,40.27
2014-12-31,40.12,$0.91,44.27
2014-09-30,34.39,$0.74,46.68
2014-06-30,29.97,$0.73,40.87
2014-03-31,26.81,$0.36,74.95
2013-12-31,30.22,$1.01,29.88
