Atlassian Price to Free Cash Flow Ratio Historical Data,Atlassian Price to Free Cash Flow Ratio Historical Data,Atlassian Price to Free Cash Flow Ratio Historical Data,Atlassian Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,165.6,,30.31
2024-06-30,176.88,$5.46,32.38
2024-03-31,195.11,$4.89,39.91
2023-12-31,237.86,$4.15,57.34
2023-09-30,201.51,$3.62,55.63
2023-06-30,167.81,$3.29,51.05
2023-03-31,171.17,$3.00,57.06
2022-12-31,128.68,$2.84,45.38
2022-09-30,210.59,$3.03,69.51
2022-06-30,187.4,$2.96,63.26
2022-03-31,293.83,$2.95,99.67
2021-12-31,381.29,$3.19,119.68
2021-09-30,391.42,$3.19,122.89
2021-06-30,256.86,$3.24,79.19
2021-03-31,210.76,$2.93,71.94
2020-12-31,233.87,$2.13,109.71
2020-09-30,181.79,$2.21,82.3
2020-06-30,180.27,$2.20,81.96
2020-03-31,137.26,$2.17,63.21
2019-12-31,120.34,$2.10,57.44
2019-09-30,125.44,$1.75,71.81
2019-06-30,130.84,$1.78,73.31
2019-03-31,112.39,$1.66,67.73
2018-12-31,88.98,$1.47,60.4
2018-09-30,96.14,$1.27,75.64
2018-06-30,62.52,$1.23,50.89
2018-03-31,53.92,$1.15,47.07
2017-12-31,45.52,$1.08,42.27
2017-09-30,35.15,$0.98,35.7
2017-06-30,35.18,$0.83,42.35
2017-03-31,29.95,$0.75,39.89
2016-12-31,24.08,$0.59,40.83
2016-09-30,29.97,$0.61,48.84
