Verizon Price to Free Cash Flow Ratio Historical Data,Verizon Price to Free Cash Flow Ratio Historical Data,Verizon Price to Free Cash Flow Ratio Historical Data,Verizon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,41.78,,9.15
2024-06-30,40.58,$4.56,8.89
2024-03-31,40.63,$1.74,23.39
2023-12-31,35.89,$1.49,24.06
2023-09-30,30.21,$1.76,17.13
2023-06-30,34.04,$1.65,20.64
2022-12-31,34.93,$3.34,10.45
2022-09-30,33.09,$7.03,4.71
2022-06-30,43.68,$6.35,6.88
2022-03-31,43.31,$6.22,6.96
2021-12-31,43.67,$7.56,5.78
2023-03-31,35.02,$4.73,7.41
2021-09-30,44.86,$5.45,8.23
2021-06-30,46.01,$4.22,10.9
2021-03-31,47.24,$3.47,13.63
2020-12-31,47.22,$3.79,12.46
2020-09-30,47.31,$3.74,12.65
2019-12-31,47.28,$4.30,10.99
2019-09-30,46.0,$4.45,10.33
2019-06-30,43.08,$2.75,15.69
2019-03-31,44.13,$2.88,15.31
2018-12-31,41.52,$3.77,11.02
2020-06-30,43.35,$3.31,13.1
2018-09-30,39.0,$3.89,10.02
2018-06-30,36.33,$3.24,11.2
2018-03-31,34.1,$2.65,12.85
2017-12-31,37.32,$1.73,21.58
2017-09-30,34.48,$0.85,40.33
2017-06-30,30.71,$0.32,97.42
2017-03-31,33.12,$-0.29,0.0
2016-12-31,35.88,$1.13,31.67
2016-09-30,34.54,$2.85,12.14
2016-06-30,36.74,$3.94,9.33
2016-03-31,35.21,$4.62,7.62
2015-12-31,29.72,$5.19,5.72
2015-09-30,27.62,$4.74,5.83
2015-06-30,29.25,$4.49,6.52
2015-03-31,30.18,$4.08,7.39
2014-12-31,28.69,$3.38,8.5
2014-09-30,30.32,$4.49,6.75
2014-06-30,29.36,$5.93,4.95
2014-03-31,28.23,$7.23,3.9
2013-12-31,28.85,$7.73,3.73
2013-09-30,27.09,$6.43,4.21
2013-06-30,28.93,$5.93,4.88
2013-03-31,27.95,$5.88,4.76
2012-12-31,24.32,$5.35,4.55
2012-09-30,25.33,$6.30,4.02
2012-06-30,24.43,$6.15,3.97
2012-03-31,20.74,$5.37,3.86
2011-12-31,21.48,$4.77,4.51
2011-09-30,19.44,$4.40,4.42
2011-06-30,19.41,$4.08,4.76
2011-03-31,19.84,$4.91,4.04
2010-12-31,18.17,$5.97,3.05
2010-09-30,16.31,$6.08,2.68
2010-06-30,12.89,$6.23,2.07
2010-03-31,14.05,$5.37,2.61
2009-12-31,14.79,$5.11,2.89
2009-09-30,13.3,$4.61,2.88
