Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data,Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data,Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data,Hilton Worldwide Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,219.64,,32.81
2024-06-30,218.05,$6.70,32.57
2024-03-31,213.01,$6.72,31.71
2023-12-31,181.7,$6.45,28.15
2023-09-30,149.72,$6.54,22.88
2023-06-30,144.96,$6.49,22.33
2023-03-31,140.15,$6.05,23.16
2022-12-31,125.59,$5.70,22.03
2022-09-30,119.74,$4.50,26.6
2022-06-30,110.51,$3.04,36.33
2022-03-31,150.31,$1.42,105.51
2021-12-31,154.52,$0.13,1206.24
2021-09-30,130.86,$-0.79,0.0
2021-06-30,119.48,$-2.12,0.0
2021-03-31,119.78,$1.21,98.83
2020-12-31,110.21,$2.22,49.56
2020-09-30,84.52,$3.24,26.07
2020-06-30,72.76,$5.75,12.66
2020-03-31,67.6,$3.74,18.05
2019-12-31,109.69,$4.48,24.49
2019-09-30,91.95,$4.94,18.61
2019-06-30,96.37,$3.97,24.25
2019-03-31,81.81,$4.00,20.45
2018-12-31,70.55,$3.59,19.63
2018-09-30,79.21,$3.28,24.16
2018-06-30,77.47,$2.82,27.42
2018-03-31,76.94,$2.78,27.71
2017-12-31,77.87,$2.19,35.56
2017-09-30,67.58,$2.28,29.67
2017-06-30,60.04,$2.25,26.72
2017-03-31,56.61,$2.13,26.59
2016-12-31,78.81,$2.77,28.43
2016-09-30,66.24,$3.11,21.33
2016-06-30,64.9,$4.28,15.16
2016-03-31,64.65,$4.42,14.62
2015-12-31,61.24,$9.94,6.16
2015-09-30,65.45,$9.83,6.66
2015-06-30,78.39,$8.93,8.78
2015-03-31,84.28,$9.06,9.3
2014-12-31,74.23,$3.08,24.09
2014-09-30,70.08,$7.91,8.86
