Equinix Price to Free Cash Flow Ratio Historical Data,Equinix Price to Free Cash Flow Ratio Historical Data,Equinix Price to Free Cash Flow Ratio Historical Data,Equinix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,834.36,,752.29
2024-06-30,752.68,$1.11,678.64
2024-03-31,816.66,$-7.26,0.0
2023-12-31,793.06,$-9.09,0.0
2023-09-30,711.29,$-3.93,0.0
2023-06-30,764.32,$-0.83,0.0
2022-12-31,632.44,$7.48,84.56
2022-09-30,546.64,$5.76,94.92
2022-06-30,628.65,$5.52,113.83
2022-03-31,706.21,$2.42,292.14
2021-12-31,802.0,$-2.98,0.0
2023-03-31,699.57,$-0.80,0.0
2021-09-30,746.49,$-2.05,0.0
2021-06-30,755.65,$-3.53,0.0
2021-03-31,637.28,$-1.61,0.0
2020-12-31,666.81,$1.83,364.95
2020-09-30,707.21,$1.39,509.52
2020-06-30,651.2,$1.37,475.85
2020-03-31,576.77,$1.51,381.81
2019-12-31,536.77,$1.21,442.04
2019-09-30,528.12,$-1.70,0.0
2019-06-30,459.66,$-3.44,0.0
2019-03-31,410.97,$-4.20,0.0
2018-12-31,317.9,$-5.62,0.0
2018-09-30,388.03,$-3.12,0.0
2018-06-30,383.32,$0.19,1986.1
2018-03-31,370.64,$-0.30,0.0
2017-12-31,399.42,$0.17,2348.17
2017-09-30,391.7,$-0.95,0.0
2017-06-30,374.99,$10.37,36.18
2017-03-31,348.23,$11.24,30.97
2016-12-31,309.2,$10.30,30.02
2016-09-30,310.01,$10.23,30.32
2016-06-30,332.07,$-1.81,0.0
2016-03-31,281.81,$-2.24,0.0
2015-12-31,256.18,$-0.20,0.0
2015-09-30,221.38,$-0.06,0.0
2015-06-30,204.32,$-0.06,0.0
2015-03-31,186.13,$1.01,183.69
2014-12-31,179.92,$-0.47,0.0
2014-09-30,168.62,$-0.57,0.0
2014-03-31,146.68,$-0.08,0.0
2013-12-31,140.82,$-0.84,0.0
2013-09-30,145.74,$-2.94,0.0
2013-06-30,146.59,$-0.04,0.0
2013-03-31,171.65,$-2.47,0.0
2012-12-31,163.63,$-2.65,0.0
2014-06-30,166.72,$-0.23,0.0
2012-09-30,163.51,$-2.53,0.0
2012-06-30,139.39,$-0.47,0.0
2012-03-31,124.95,$-1.48,0.0
2011-12-31,80.47,$-2.63,0.0
2011-09-30,70.49,$-3.43,0.0
2011-06-30,80.17,$-3.95,0.0
2011-03-31,72.29,$-4.96,0.0
2010-12-31,64.48,$-4.49,0.0
2010-09-30,81.22,$-4.04,0.0
2010-06-30,64.45,$-3.11,0.0
2010-03-31,77.24,$-0.85,0.0
2009-12-31,84.24,$-0.35,0.0
