Juniper Networks Price to Free Cash Flow Ratio Historical Data,Juniper Networks Price to Free Cash Flow Ratio Historical Data,Juniper Networks Price to Free Cash Flow Ratio Historical Data,Juniper Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,38.88,,24.61
2024-06-30,36.25,$1.58,22.95
2024-03-31,36.85,$2.63,13.99
2023-12-31,29.14,$2.19,13.31
2023-09-30,27.26,$2.55,10.68
2023-06-30,30.5,$1.74,17.56
2023-03-31,33.27,$-0.08,0.0
2022-12-31,30.67,$-0.02,0.0
2022-09-30,24.91,$-0.03,0.0
2022-06-30,26.98,$0.20,132.06
2022-03-31,34.94,$0.76,45.99
2021-12-31,33.37,$0.53,63.22
2021-09-30,25.55,$0.54,46.96
2021-06-30,25.22,$0.45,55.92
2020-12-31,20.42,$1.53,13.38
2020-09-30,19.33,$1.96,9.84
2020-06-30,20.39,$2.18,9.34
2020-03-31,16.93,$2.41,7.02
2019-12-31,21.59,$1.84,11.71
2021-03-31,23.18,$1.50,15.42
2019-09-30,21.53,$1.49,14.43
2019-06-30,22.97,$1.54,14.95
2019-03-31,22.66,$1.75,12.93
2018-12-31,22.87,$2.01,11.36
2018-09-30,25.47,$1.94,13.14
2018-06-30,23.16,$1.89,12.26
2018-03-31,20.41,$2.19,9.31
2017-12-31,23.74,$2.88,8.23
2017-09-30,23.1,$3.24,7.14
2017-06-30,23.06,$3.30,6.99
2017-03-31,22.94,$3.36,6.83
2016-12-31,23.21,$2.35,9.87
2016-09-30,19.69,$1.73,11.41
2016-06-30,18.33,$1.80,10.2
2016-03-31,20.7,$1.62,12.78
2015-12-31,22.3,$1.73,12.92
2015-09-30,20.71,$2.10,9.86
2015-06-30,20.84,$1.31,15.93
2015-03-31,18.05,$0.46,38.98
2014-12-31,17.77,$0.72,24.73
2014-09-30,17.55,$0.48,36.65
2014-06-30,19.37,$1.10,17.6
2013-12-31,17.81,$1.21,14.76
2013-09-30,15.67,$0.94,16.59
2013-06-30,15.24,$0.81,18.72
2013-03-31,14.63,$0.56,26.02
2012-12-31,15.52,$0.95,16.29
2014-03-31,20.33,$0.58,35.34
2012-09-30,13.5,$0.74,18.35
2012-06-30,12.87,$0.79,16.21
2012-03-31,18.06,$1.03,17.52
2011-12-31,16.11,$1.33,12.1
2011-09-30,13.62,$1.63,8.35
2011-06-30,24.86,$1.55,16.02
2011-03-31,33.21,$1.41,23.59
2010-12-31,29.14,$1.16,25.04
2010-09-30,23.95,$0.99,24.3
2010-06-30,18.01,$1.19,15.17
2010-03-31,24.21,$1.05,23.03
2009-12-31,21.05,$1.20,17.48
