United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data,United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data,United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data,United Dominion Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,44.51,,36.76
2024-06-30,40.72,$1.21,33.64
2024-03-31,36.61,$1.09,33.48
2023-12-31,37.07,$1.05,35.2
2023-09-30,34.13,$1.04,32.82
2023-06-30,40.7,$1.13,36.08
2023-03-31,38.5,$0.15,250.36
2022-12-31,35.97,$0.14,258.57
2022-09-30,38.35,$-1.04,0.0
2022-06-30,41.98,$-3.15,0.0
2022-03-31,51.97,$-3.00,0.0
2021-12-31,54.01,$-3.07,0.0
2021-09-30,47.38,$-2.86,0.0
2021-06-30,43.5,$-0.85,0.0
2021-03-31,38.63,$0.00,0.0
2020-12-31,33.52,$-0.34,0.0
2020-09-30,28.16,$0.30,92.55
2020-06-30,31.96,$-1.30,0.0
2020-03-31,30.96,$-2.44,0.0
2019-12-31,39.27,$-3.32,0.0
2019-09-30,40.48,$-2.93,0.0
2019-06-30,37.21,$-1.17,0.0
2019-03-31,37.4,$-0.22,0.0
2018-12-31,32.33,$1.09,29.71
2018-09-30,32.73,$0.74,43.96
2018-06-30,30.13,$0.58,51.98
2018-03-31,28.33,$0.49,57.66
2017-12-31,30.38,$0.18,172.03
2017-09-30,29.75,$-0.08,0.0
2017-06-30,30.24,$-0.00,0.0
2017-03-31,27.9,$0.06,460.38
2016-12-31,27.84,$0.37,75.11
2016-09-30,27.23,$0.06,422.84
2016-06-30,27.71,$-0.07,0.0
2016-03-31,28.69,$0.05,629.27
2015-12-31,27.77,$-0.03,0.0
2015-09-30,25.28,$0.42,60.09
2015-06-30,23.29,$-0.07,0.0
2015-03-31,24.54,$-0.28,0.0
2014-12-31,22.04,$-0.73,0.0
2014-09-30,19.31,$-0.71,0.0
2014-06-30,20.1,$-0.33,0.0
2014-03-31,17.96,$-0.55,0.0
2013-12-31,16.07,$-0.41,0.0
2013-09-30,16.15,$-0.91,0.0
2013-06-30,17.2,$-0.95,0.0
2013-03-31,16.17,$-0.88,0.0
2012-12-31,15.75,$-0.76,0.0
2012-09-30,16.14,$-0.61,0.0
2012-06-30,16.67,$-4.41,0.0
2012-03-31,17.09,$-4.79,0.0
2011-12-31,15.91,$-4.68,0.0
2011-09-30,13.91,$-4.15,0.0
2011-06-30,15.31,$-2.25,0.0
2011-03-31,15.07,$-1.78,0.0
2010-12-31,14.43,$-1.83,0.0
2010-09-30,12.84,$-2.09,0.0
2010-06-30,11.53,$-0.38,0.0
2010-03-31,10.53,$-0.53,0.0
2009-12-31,9.7,$-0.50,0.0
