Hershey Price to Free Cash Flow Ratio Historical Data,Hershey Price to Free Cash Flow Ratio Historical Data,Hershey Price to Free Cash Flow Ratio Historical Data,Hershey Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,193.06,,28.53
2024-06-30,182.54,$6.77,26.98
2024-03-31,191.87,$6.47,29.64
2023-12-31,182.61,$7.55,24.18
2023-09-30,195.97,$7.88,24.86
2023-06-30,243.24,$8.03,30.31
2023-03-31,246.87,$9.08,27.18
2022-12-31,223.72,$8.75,25.56
2022-09-30,212.0,$8.36,25.34
2022-06-30,205.97,$8.06,25.55
2022-03-31,206.47,$4.12,50.14
2021-12-31,183.58,$3.80,48.33
2021-09-30,159.8,$3.04,52.5
2021-06-30,163.64,$3.11,52.69
2020-12-31,141.7,$6.01,23.59
2020-09-30,132.63,$8.33,15.93
2020-06-30,119.28,$8.91,13.39
2020-03-31,121.2,$8.76,13.84
2019-12-31,133.8,$9.31,14.36
2021-03-31,147.9,$5.96,24.83
2019-09-30,140.35,$6.53,21.5
2019-06-30,120.78,$6.35,19.02
2019-03-31,102.91,$6.01,17.12
2018-12-31,95.43,$6.26,15.24
2018-09-30,90.21,$5.75,15.7
2018-06-30,81.71,$5.80,14.09
2018-03-31,86.27,$5.11,16.87
2017-12-31,98.29,$4.68,21.02
2017-09-30,93.96,$4.39,21.41
2017-06-30,91.85,$3.40,26.98
2017-03-31,92.95,$3.36,27.7
2016-12-31,87.5,$3.47,25.2
2016-09-30,80.37,$3.78,21.26
2016-06-30,94.89,$3.80,24.98
2016-03-31,76.51,$4.26,17.98
2015-12-31,73.68,$4.08,18.05
2015-09-30,75.33,$3.05,24.73
2015-06-30,72.35,$3.54,20.47
2015-03-31,81.73,$2.45,33.39
2014-12-31,83.75,$2.11,39.63
2014-09-30,76.48,$2.65,28.82
2014-06-30,77.58,$2.96,26.19
2014-03-31,82.77,$3.44,24.07
2013-12-31,76.74,$3.77,20.37
2013-09-30,72.64,$3.67,19.78
2013-06-30,69.75,$3.76,18.55
2013-03-31,68.06,$3.65,18.64
2012-12-31,55.86,$3.58,15.61
2012-09-30,54.52,$2.80,19.49
2012-06-30,55.11,$1.31,42.09
2012-03-31,46.66,$1.51,30.84
2011-12-31,46.7,$1.05,44.63
2011-09-30,44.51,$1.86,23.97
2011-06-30,42.46,$2.68,15.82
2011-03-31,40.34,$2.75,14.66
2010-12-31,34.76,$3.05,11.4
2010-09-30,34.85,$2.90,12.03
2010-06-30,34.86,$3.25,10.73
2010-03-31,30.92,$3.65,8.48
2009-12-31,25.64,$4.06,6.31
