Chevron Price to Free Cash Flow Ratio Historical Data,Chevron Price to Free Cash Flow Ratio Historical Data,Chevron Price to Free Cash Flow Ratio Historical Data,Chevron Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,147.95,,15.24
2024-06-30,154.7,$9.71,15.93
2024-03-31,154.45,$-7.39,0.0
2023-12-31,144.52,$-4.41,0.0
2023-09-30,161.65,$-2.29,0.0
2023-06-30,149.44,$0.44,338.32
2022-12-31,167.31,$19.40,8.63
2022-09-30,132.9,$23.74,5.6
2022-06-30,132.74,$19.54,6.79
2022-03-31,148.04,$17.61,8.4
2021-12-31,105.57,$17.16,6.15
2023-03-31,153.45,$9.63,15.94
2021-09-30,90.22,$7.52,12.0
2021-06-30,91.87,$5.07,18.12
2021-03-31,90.77,$1.31,69.18
2020-12-31,72.15,$0.89,81.53
2020-09-30,60.62,$1.56,38.84
2020-06-30,74.03,$2.90,25.54
2020-03-31,59.29,$6.71,8.84
2019-12-31,97.47,$6.96,14.0
2019-09-30,94.99,$8.91,10.66
2019-06-30,98.65,$9.67,10.2
2019-03-31,96.7,$8.83,10.95
2018-12-31,84.55,$8.79,9.62
2018-09-30,94.14,$7.37,12.77
2018-06-30,96.41,$5.44,17.71
2018-03-31,86.22,$4.48,19.25
2017-12-31,93.72,$3.65,25.65
2017-09-30,87.14,$2.19,39.83
2017-06-30,76.6,$1.67,45.79
2017-03-31,78.02,$-0.28,0.0
2016-12-31,84.72,$-2.89,0.0
2016-09-30,73.35,$-4.25,0.0
2016-06-30,73.93,$-5.72,0.0
2016-03-31,66.58,$-4.91,0.0
2015-12-31,62.0,$-5.36,0.0
2015-09-30,53.73,$-5.49,0.0
2015-06-30,64.88,$-4.49,0.0
2015-03-31,69.91,$-4.82,0.0
2014-12-31,73.99,$-2.07,0.0
2014-09-30,77.99,$-1.00,0.0
2014-06-30,84.61,$-0.86,0.0
2014-03-31,76.4,$-0.34,0.0
2013-12-31,79.55,$-1.54,0.0
2013-09-30,76.73,$0.22,354.76
2013-06-30,74.12,$-0.01,0.0
2013-03-31,73.82,$1.47,50.12
2012-12-31,66.67,$4.01,16.64
2012-09-30,71.23,$3.72,19.15
2012-06-30,63.96,$5.98,10.69
2012-03-31,64.42,$5.98,10.77
2011-12-31,63.44,$7.29,8.7
2011-09-30,54.77,$7.79,7.03
2011-06-30,60.35,$6.58,9.17
2011-03-31,62.6,$6.65,9.41
2010-12-31,52.75,$5.85,9.02
2010-09-30,46.44,$5.31,8.74
2010-06-30,38.53,$5.42,7.11
2010-03-31,42.66,$3.33,12.82
2009-12-31,42.9,$-0.23,0.0
