Teradyne Price to Free Cash Flow Ratio Historical Data,Teradyne Price to Free Cash Flow Ratio Historical Data,Teradyne Price to Free Cash Flow Ratio Historical Data,Teradyne Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,136.73,,46.84
2024-06-30,148.29,$2.92,50.8
2024-03-31,112.73,$2.50,45.15
2023-12-31,108.3,$2.59,41.81
2023-09-30,100.14,$2.22,45.17
2023-06-30,110.86,$2.76,40.12
2023-03-31,106.93,$2.54,42.13
2022-12-31,86.79,$2.46,35.24
2022-09-30,74.58,$3.21,23.26
2022-06-30,88.76,$4.54,19.55
2022-03-31,117.05,$5.06,23.14
2021-12-31,161.75,$5.26,30.75
2021-09-30,107.91,$4.88,22.11
2021-06-30,132.3,$3.64,36.35
2021-03-31,120.08,$3.70,32.5
2020-12-31,118.23,$3.74,31.64
2020-09-30,78.29,$3.50,22.35
2020-06-30,83.17,$2.90,28.68
2020-03-31,53.23,$2.55,20.84
2019-12-31,66.91,$2.47,27.04
2019-09-30,56.74,$2.30,24.71
2019-06-30,46.86,$2.53,18.51
2019-03-31,38.88,$2.41,16.12
2018-12-31,30.56,$1.88,16.24
2018-09-30,35.92,$1.63,22.11
2018-06-30,36.9,$1.91,19.35
2018-03-31,44.21,$2.42,18.25
2017-12-31,40.41,$2.58,15.64
2017-09-30,35.93,$2.12,16.93
2017-06-30,28.88,$1.60,18.05
2017-03-31,29.85,$1.34,22.29
2016-12-31,24.32,$1.83,13.32
2016-09-30,20.61,$1.84,11.19
2016-06-30,18.76,$1.72,10.93
2016-03-31,20.5,$0.19,110.76
2015-12-31,19.57,$0.78,25.09
2015-09-30,17.0,$1.02,16.67
2015-06-30,18.15,$0.92,19.62
2014-12-31,18.51,$1.45,12.75
2014-09-30,18.08,$1.39,12.96
2014-06-30,18.22,$1.11,16.38
2014-03-31,18.43,$0.97,19.02
2013-12-31,16.32,$1.54,10.61
2015-03-31,17.68,$0.68,26.2
2013-09-30,15.31,$0.65,23.54
2013-06-30,16.28,$1.07,15.23
2013-03-31,15.03,$1.05,14.31
2012-12-31,15.65,$1.23,12.69
2012-09-30,13.17,$1.35,9.77
2012-06-30,13.03,$0.74,17.62
2012-03-31,15.65,$0.77,20.21
2011-12-31,12.63,$0.83,15.17
2011-09-30,10.2,$1.36,7.48
2011-06-30,13.71,$2.07,6.62
2011-03-31,16.5,$2.11,7.81
2010-12-31,13.01,$2.16,6.02
2010-09-30,10.32,$1.76,5.85
2010-06-30,9.03,$1.26,7.17
2010-03-31,10.35,$0.92,11.27
2009-12-31,9.94,$0.46,21.42
