IBM Price to Free Cash Flow Ratio Historical Data,IBM Price to Free Cash Flow Ratio Historical Data,IBM Price to Free Cash Flow Ratio Historical Data,IBM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,202.13,,14.37
2024-06-30,171.45,$14.07,12.19
2024-03-31,187.43,$14.53,12.9
2023-12-31,159.09,$14.11,11.28
2023-09-30,134.95,$13.23,10.2
2023-06-30,127.22,$11.93,10.67
2023-03-31,122.95,$10.54,11.67
2022-12-31,130.53,$10.08,12.94
2022-09-30,108.77,$8.54,12.73
2022-06-30,127.63,$9.32,13.7
2022-03-31,116.11,$10.58,10.97
2021-12-31,117.91,$12.29,9.59
2021-09-30,115.47,$15.81,7.3
2021-06-30,120.44,$17.26,6.98
2021-03-31,108.27,$18.29,5.92
2020-12-31,100.93,$17.59,5.74
2020-09-30,96.19,$15.07,6.38
2020-06-30,94.25,$14.50,6.5
2020-03-31,85.42,$14.12,6.05
2019-12-31,102.14,$14.58,7.0
2019-09-30,109.53,$14.96,7.32
2019-06-30,102.67,$15.28,6.72
2019-03-31,103.81,$13.87,7.48
2018-12-31,82.66,$13.21,6.26
2018-09-30,108.57,$14.70,7.39
2018-06-30,99.23,$14.10,7.04
2018-03-31,107.8,$15.58,6.92
2017-12-31,106.71,$14.89,7.17
2017-09-30,99.91,$13.02,7.67
2017-06-30,104.83,$13.43,7.8
2017-03-31,117.52,$13.12,8.96
2016-12-31,111.14,$14.54,7.64
2016-09-30,105.4,$15.94,6.61
2016-06-30,99.85,$15.89,6.28
2016-03-31,98.7,$16.35,6.04
2015-12-31,88.77,$14.29,6.21
2015-09-30,92.64,$14.61,6.34
2015-06-30,103.09,$14.13,7.3
2015-03-31,100.95,$13.77,7.33
2014-12-31,100.21,$13.40,7.48
2014-09-30,117.76,$13.39,8.8
2014-06-30,111.79,$12.98,8.61
2014-03-31,118.03,$12.30,9.6
2013-12-31,114.39,$12.90,8.86
2013-09-30,112.33,$12.61,8.91
2013-06-30,115.35,$13.18,8.75
2013-03-31,128.15,$13.89,9.23
2012-12-31,114.6,$13.77,8.32
2012-09-30,123.56,$14.07,8.78
2012-06-30,116.0,$14.09,8.23
2012-03-31,123.23,$14.08,8.75
2011-12-31,108.18,$13.47,8.03
2011-09-30,102.47,$12.88,7.96
2011-06-30,100.07,$12.63,7.93
2011-03-31,94.7,$12.07,7.85
2010-12-31,84.9,$12.53,6.77
2010-09-30,77.25,$12.14,6.36
2010-06-30,70.76,$12.41,5.7
2010-03-31,73.11,$13.14,5.56
2009-12-31,74.29,$13.16,5.64
