Teleflex Price to Free Cash Flow Ratio Historical Data,Teleflex Price to Free Cash Flow Ratio Historical Data,Teleflex Price to Free Cash Flow Ratio Historical Data,Teleflex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,245.17,,27.6
2024-06-30,210.03,$8.88,23.64
2024-03-31,225.49,$9.13,24.69
2023-12-31,248.21,$8.88,27.94
2023-09-30,195.2,$7.78,25.1
2023-06-30,240.18,$6.88,34.91
2023-03-31,251.03,$5.86,42.84
2022-12-31,247.03,$5.57,44.33
2022-09-30,199.04,$8.17,24.38
2022-06-30,242.58,$8.89,27.28
2022-03-31,349.68,$11.34,30.82
2021-12-31,323.4,$12.24,26.42
2021-09-30,370.35,$11.94,31.02
2021-06-30,394.81,$10.12,39.0
2021-03-31,407.89,$9.91,41.17
2020-12-31,403.72,$7.33,55.1
2020-09-30,333.61,$6.77,49.28
2020-06-30,356.38,$7.25,49.17
2020-03-31,286.45,$5.95,48.13
2019-12-31,367.83,$7.41,49.67
2019-09-30,331.65,$6.71,49.43
2019-06-30,322.96,$6.60,48.96
2019-03-31,294.35,$6.85,42.97
2018-12-31,251.5,$7.57,33.22
2018-09-30,258.56,$7.06,36.64
2018-06-30,260.24,$7.20,36.17
2018-03-31,247.09,$7.33,33.71
2017-12-31,240.78,$7.62,31.61
2017-09-30,233.84,$7.54,31.03
2017-06-30,200.45,$7.56,26.51
2017-03-31,186.58,$8.08,23.1
2016-12-31,154.94,$7.50,20.65
2016-09-30,161.19,$8.13,19.83
2016-06-30,169.75,$6.92,24.53
2016-03-31,150.0,$5.68,26.41
2015-12-31,125.29,$5.04,24.88
2015-09-30,118.09,$3.95,29.92
2015-06-30,128.44,$4.41,29.16
2015-03-31,114.27,$4.73,24.16
2014-12-31,108.28,$4.79,22.6
2014-09-30,98.77,$5.52,17.9
2014-06-30,98.97,$5.41,18.3
2014-03-31,100.19,$4.73,21.18
2013-12-31,87.4,$3.84,22.77
2013-09-30,76.34,$2.80,27.27
2013-06-30,71.58,$2.14,33.46
2013-03-31,77.74,$2.60,29.86
2012-12-31,65.32,$3.16,20.65
2012-09-30,62.74,$2.66,23.61
2012-06-30,55.21,$2.14,25.86
2012-03-31,55.12,$1.50,36.64
2011-12-31,54.93,$1.22,45.03
2011-09-30,47.91,$1.59,30.05
2011-06-30,54.05,$1.76,30.72
2011-03-31,51.05,$2.19,23.32
2010-12-31,47.1,$2.84,16.57
2010-09-30,49.39,$3.14,15.75
2010-06-30,46.91,$5.04,9.31
2010-03-31,55.06,$3.39,16.24
2009-12-31,46.06,$2.35,19.62
