IQVIA Holdings Price to Free Cash Flow Ratio Historical Data,IQVIA Holdings Price to Free Cash Flow Ratio Historical Data,IQVIA Holdings Price to Free Cash Flow Ratio Historical Data,IQVIA Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,251.55,,25.17
2024-06-30,211.44,$10.00,21.15
2024-03-31,252.89,$8.76,28.88
2023-12-31,231.38,$8.05,28.74
2023-09-30,196.75,$7.03,28.01
2023-06-30,224.77,$8.36,26.88
2023-03-31,198.89,$-2.14,0.0
2022-12-31,204.89,$-0.86,0.0
2022-09-30,181.14,$0.61,294.78
2022-06-30,216.99,$-1.07,0.0
2021-12-31,282.14,$11.81,23.9
2021-09-30,239.54,$14.36,16.68
2021-06-30,242.32,$12.59,19.24
2021-03-31,193.14,$12.67,15.24
2020-12-31,179.17,$10.72,16.71
2022-03-31,231.21,$5.66,40.87
2020-09-30,157.63,$6.17,25.53
2020-06-30,141.88,$4.99,28.43
2020-03-31,107.86,$4.43,24.32
2019-12-31,154.51,$4.18,36.93
2019-09-30,149.38,$3.28,45.57
2019-06-30,160.9,$3.45,46.64
2019-03-31,143.85,$3.24,44.45
2018-12-31,116.17,$3.82,30.42
2018-09-30,129.74,$3.05,42.55
2018-06-30,99.82,$3.55,28.1
2018-03-31,98.11,$3.24,30.31
2017-12-31,97.9,$2.70,36.26
2017-09-30,95.07,$3.96,24.0
2017-06-30,89.5,$4.34,20.61
2017-03-31,80.53,$3.78,21.32
2016-12-31,76.05,$4.58,16.61
2016-09-30,81.06,$4.24,19.14
2016-06-30,65.32,$4.32,15.13
2016-03-31,65.1,$1.21,53.91
2015-12-31,68.66,$2.27,30.31
2015-09-30,69.57,$1.68,41.53
2015-06-30,72.61,$-0.01,0.0
2014-12-31,58.87,$2.67,22.05
2014-09-30,55.78,$3.94,14.16
2014-06-30,53.29,$2.42,21.99
2014-03-31,50.77,$3.29,15.42
2013-12-31,46.34,$3.18,14.56
