Avery Dennison Price to Free Cash Flow Ratio Historical Data,Avery Dennison Price to Free Cash Flow Ratio Historical Data,Avery Dennison Price to Free Cash Flow Ratio Historical Data,Avery Dennison Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,221.85,,26.24
2024-06-30,218.65,$8.46,25.86
2024-03-31,223.25,$8.31,26.88
2023-12-31,201.41,$6.68,30.14
2023-09-30,181.23,$6.99,25.94
2023-06-30,169.7,$5.48,30.96
2023-03-31,175.89,$6.40,27.49
2022-12-31,177.2,$8.09,21.91
2022-09-30,158.66,$6.94,22.86
2022-06-30,157.2,$8.04,19.55
2022-03-31,168.22,$7.94,21.19
2021-12-31,208.57,$9.26,22.53
2021-09-30,198.89,$9.89,20.12
2021-06-30,201.2,$9.77,20.6
2021-03-31,175.21,$9.03,19.39
2020-12-31,147.47,$6.44,22.89
2020-09-30,121.05,$6.15,19.69
2020-06-30,107.5,$5.35,20.1
2020-03-31,95.51,$5.49,17.41
2019-12-31,122.05,$5.85,20.87
2019-09-30,105.48,$5.60,18.83
2019-06-30,106.89,$2.77,38.56
2019-03-31,103.85,$-2.40,0.0
2018-12-31,82.56,$-0.49,0.0
2018-09-30,99.58,$-0.57,0.0
2018-06-30,93.37,$1.67,55.98
2017-12-31,104.12,$4.72,22.04
2017-09-30,88.79,$7.33,12.12
2017-06-30,79.41,$5.28,15.03
2017-03-31,72.05,$5.04,14.28
2016-12-31,62.45,$7.34,8.5
2018-03-31,96.69,$2.52,38.38
2016-09-30,68.79,$4.25,16.2
2016-06-30,65.76,$4.01,16.4
2016-03-31,63.09,$3.39,18.6
2015-12-31,54.51,$3.55,15.36
2015-09-30,48.94,$3.11,15.71
2015-06-30,52.39,$3.88,13.51
2015-03-31,45.21,$3.30,13.69
2014-12-31,44.05,$1.92,22.88
2014-09-30,37.64,$2.49,15.09
2014-06-30,42.89,$1.05,40.95
2014-03-31,42.11,$1.11,37.85
2013-12-31,41.47,$1.77,23.47
2013-09-30,35.75,$2.41,14.81
2013-06-30,34.89,$3.63,9.61
2013-03-31,34.91,$2.78,12.57
2012-12-31,28.12,$3.47,8.1
2012-09-30,25.41,$3.69,6.9
2012-06-30,21.65,$4.09,5.29
2012-03-31,23.63,$3.89,6.08
2011-12-31,22.28,$2.73,8.16
2011-09-30,19.31,$1.72,11.23
2011-06-30,29.47,$0.98,29.97
2011-03-31,31.82,$2.56,12.45
2010-12-31,31.91,$3.51,9.1
2010-09-30,27.83,$4.06,6.85
2010-06-30,23.94,$4.56,5.25
2010-03-31,26.97,$4.04,6.68
2009-12-31,26.86,$4.41,6.09
