AMD Price to Free Cash Flow Ratio Historical Data,AMD Price to Free Cash Flow Ratio Historical Data,AMD Price to Free Cash Flow Ratio Historical Data,AMD Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,148.56,,178.6
2024-06-30,162.21,$0.83,195.01
2024-03-31,180.49,$0.72,251.59
2023-12-31,147.41,$0.69,213.7
2023-09-30,102.82,$0.88,117.09
2023-06-30,113.91,$1.22,93.43
2023-03-31,98.01,$1.53,64.01
2022-12-31,64.77,$1.98,32.67
2022-09-30,63.36,$2.24,28.23
2022-06-30,76.47,$2.35,32.61
2022-03-31,109.34,$2.60,42.06
2021-12-31,143.9,$2.62,54.92
2021-09-30,102.9,$2.64,39.02
2021-06-30,93.93,$2.14,43.94
2021-03-31,78.5,$1.32,59.49
2020-12-31,91.71,$1.00,91.61
2020-06-30,52.61,$0.55,96.41
2020-03-31,45.48,$0.40,113.76
2019-12-31,45.86,$0.25,186.12
2019-09-30,28.99,$-0.04,0.0
2019-06-30,30.37,$-0.18,0.0
2019-03-31,25.52,$-0.23,0.0
2018-12-31,18.46,$-0.12,0.0
2018-09-30,30.89,$-0.54,0.0
2018-06-30,14.99,$0.04,368.3
2018-03-31,10.05,$0.19,53.8
2017-12-31,10.28,$0.24,43.41
2020-09-30,81.99,$0.24,335.47
2017-09-30,12.75,$-0.17,0.0
2017-06-30,12.48,$-0.03,0.0
2017-03-31,14.55,$0.10,151.09
2016-12-31,11.34,$0.35,32.46
2016-09-30,6.91,$0.06,113.84
2015-12-31,2.87,$-0.40,0.0
2015-09-30,1.72,$-0.47,0.0
2015-06-30,2.4,$-0.23,0.0
2015-03-31,2.68,$-0.14,0.0
2014-12-31,2.67,$0.04,60.14
2016-06-30,5.14,$-0.21,0.0
2014-09-30,3.41,$-0.37,0.0
2014-06-30,4.19,$-0.27,0.0
2014-03-31,4.01,$-0.29,0.0
2013-12-31,3.87,$-0.07,0.0
2013-09-30,3.81,$-0.07,0.0
2016-03-31,2.85,$-0.73,0.0
2013-06-30,4.08,$-0.86,0.0
2013-03-31,2.55,$-0.72,0.0
2012-12-31,2.4,$-0.64,0.0
2012-09-30,3.37,$0.06,51.93
2012-06-30,5.73,$0.48,12.01
2012-03-31,8.02,$0.56,14.31
2011-12-31,5.4,$0.20,27.07
2011-09-30,5.08,$-0.27,0.0
2011-06-30,6.99,$-0.68,0.0
2011-03-31,8.6,$-1.00,0.0
2010-12-31,8.18,$-0.76,0.0
2010-09-30,7.11,$0.97,7.3
2010-06-30,7.32,$0.89,8.23
2010-03-31,9.27,$0.74,12.6
2009-12-31,9.68,$0.01,939.81
