Pool Price to Free Cash Flow Ratio Historical Data,Pool Price to Free Cash Flow Ratio Historical Data,Pool Price to Free Cash Flow Ratio Historical Data,Pool Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,351.62,,22.04
2024-06-30,306.27,$15.95,19.2
2024-03-31,400.85,$22.34,17.95
2023-12-31,395.02,$21.24,18.6
2023-09-30,351.65,$22.14,15.88
2023-06-30,368.9,$19.72,18.7
2023-03-31,336.11,$18.70,17.97
2022-12-31,295.9,$11.08,26.69
2022-09-30,310.41,$5.65,54.97
2022-06-30,341.72,$2.87,119.18
2022-03-31,410.41,$-0.24,0.0
2021-12-31,548.38,$6.81,80.48
2021-09-30,420.25,$8.32,50.53
2021-06-30,442.98,$8.26,53.66
2021-03-31,332.83,$4.37,76.08
2020-12-31,358.5,$3.90,91.82
2020-09-30,321.42,$7.19,44.68
2020-06-30,260.74,$4.57,57.05
2019-12-31,202.61,$6.49,31.19
2019-09-30,191.9,$7.10,27.01
2019-06-30,181.21,$4.00,45.26
2019-03-31,156.04,$4.66,33.51
2018-12-31,140.21,$4.05,34.62
2020-03-31,188.21,$0.84,225.35
2018-09-30,156.94,$2.00,78.53
2018-06-30,142.07,$2.94,48.4
2018-03-31,136.71,$1.80,76.05
2017-12-31,120.9,$3.63,33.26
2017-09-30,100.56,$5.73,17.56
2017-03-31,110.21,$3.07,35.86
2016-12-31,96.12,$3.05,31.53
2016-09-30,86.79,$3.97,21.87
2016-06-30,86.07,$3.37,25.58
2016-03-31,80.03,$2.90,27.59
2015-12-31,73.45,$2.64,27.79
2015-09-30,65.53,$5.35,12.24
2015-06-30,63.38,$0.16,399.59
2015-03-31,62.76,$2.18,28.78
2014-12-31,56.89,$3.23,17.61
2017-06-30,108.92,$-1.76,0.0
2014-09-30,48.17,$1.49,32.32
2014-06-30,50.34,$1.36,37.06
2014-03-31,54.37,$1.83,29.74
2013-12-31,51.38,$1.82,28.28
2013-09-30,49.38,$0.65,76.1
2013-06-30,45.99,$0.73,62.64
2013-03-31,41.97,$2.03,20.64
2012-12-31,36.88,$2.14,17.24
2012-09-30,36.09,$3.15,11.47
2012-06-30,34.97,$2.27,15.39
2012-03-31,32.2,$1.19,27.14
2011-12-31,25.8,$1.14,22.71
2011-09-30,22.33,$0.85,26.24
2011-06-30,25.28,$0.61,41.79
2011-03-31,20.35,$1.40,14.52
2010-12-31,18.93,$1.71,11.06
2010-09-30,16.75,$1.67,10.01
2010-06-30,18.18,$2.02,8.99
2010-03-31,18.68,$2.62,7.14
2009-12-31,15.65,$2.16,7.24
