ANSYS Price to Free Cash Flow Ratio Historical Data,ANSYS Price to Free Cash Flow Ratio Historical Data,ANSYS Price to Free Cash Flow Ratio Historical Data,ANSYS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,321.42,,39.14
2024-06-30,321.5,$8.21,39.15
2024-03-31,347.16,$8.11,42.78
2023-12-31,362.88,$7.92,45.84
2023-09-30,297.55,$7.23,41.13
2023-06-30,330.27,$6.84,48.25
2023-03-31,332.8,$7.49,44.42
2022-12-31,241.59,$6.93,34.84
2022-09-30,221.7,$6.16,36.01
2022-06-30,239.29,$6.47,37.0
2022-03-31,317.65,$6.43,49.37
2021-12-31,401.12,$5.98,67.13
2021-09-30,340.45,$6.73,50.56
2021-06-30,347.06,$6.02,57.64
2021-03-31,339.56,$6.15,55.26
2020-12-31,363.8,$5.87,62.03
2020-09-30,327.23,$5.40,60.64
2020-06-30,291.73,$5.70,51.19
2020-03-31,232.47,$5.21,44.62
2019-12-31,257.41,$5.30,48.61
2019-09-30,221.36,$5.34,41.46
2019-06-30,204.82,$5.25,39.02
2019-03-31,182.71,$5.58,32.74
2018-12-31,142.94,$5.39,26.51
2018-09-30,186.68,$5.06,36.93
2018-06-30,174.18,$6.06,28.74
2018-03-31,156.69,$6.21,25.25
2017-12-31,147.59,$5.76,25.62
2017-09-30,122.73,$5.60,21.9
2017-03-31,106.87,$4.17,25.62
2016-12-31,92.49,$3.97,23.28
2016-09-30,92.61,$4.14,22.36
2016-06-30,90.75,$4.02,22.58
2016-03-31,89.46,$3.93,22.77
2015-12-31,92.5,$3.93,23.54
2015-09-30,88.14,$3.62,24.37
2015-06-30,91.24,$3.58,25.46
2015-03-31,88.19,$2.36,37.37
2014-12-31,82.0,$2.47,33.18
2014-09-30,75.67,$2.90,26.09
2014-06-30,75.82,$2.86,26.54
2017-06-30,121.68,$4.02,30.27
2014-03-31,77.02,$3.58,21.51
2013-12-31,87.2,$3.20,27.28
2013-09-30,86.52,$3.12,27.74
2013-06-30,73.1,$3.20,22.83
2013-03-31,81.42,$3.02,26.95
2012-12-31,67.34,$2.89,23.3
2012-09-30,73.4,$2.95,24.89
2012-06-30,63.11,$2.89,21.86
2012-03-31,65.02,$2.99,21.75
2011-12-31,57.28,$3.03,18.93
2011-09-30,49.04,$1.98,24.8
2011-06-30,54.67,$2.06,26.59
2011-03-31,54.19,$0.70,77.27
2010-12-31,52.07,$0.30,172.25
2010-09-30,42.25,$0.97,43.44
2010-06-30,40.57,$0.72,56.4
2009-12-31,43.46,$1.80,24.12
2009-09-30,37.42,$1.96,19.1
