TE Connectivity Price to Free Cash Flow Ratio Historical Data,TE Connectivity Price to Free Cash Flow Ratio Historical Data,TE Connectivity Price to Free Cash Flow Ratio Historical Data,TE Connectivity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,153.6,,16.32
2024-06-30,149.79,$9.41,15.92
2024-03-31,144.0,$8.52,16.91
2023-12-31,138.73,$8.15,17.01
2023-09-30,121.43,$7.58,16.01
2023-06-30,137.14,$6.87,19.96
2023-03-31,127.71,$6.20,20.58
2022-12-31,111.32,$5.55,20.05
2022-09-30,106.54,$5.56,19.17
2022-06-30,108.78,$4.91,22.16
2022-03-31,125.35,$5.26,23.85
2021-12-31,153.88,$5.98,25.74
2021-09-30,130.48,$6.22,20.97
2021-06-30,128.13,$6.43,19.94
2021-03-31,121.89,$5.59,21.82
2020-12-31,113.88,$5.17,22.04
2020-09-30,91.54,$4.36,20.97
2020-06-30,75.98,$4.67,16.27
2020-03-31,58.31,$5.43,10.73
2019-12-31,88.3,$5.49,16.08
2019-09-30,85.42,$5.05,16.92
2019-06-30,87.36,$4.80,18.2
2019-03-31,73.26,$4.89,14.97
2018-12-31,68.25,$4.29,15.9
2018-09-30,78.89,$4.36,18.09
2018-06-30,80.41,$4.30,18.68
2018-03-31,88.78,$3.68,24.13
2017-12-31,84.13,$4.20,20.04
2017-09-30,73.52,$4.64,15.85
2017-06-30,69.65,$4.14,16.84
2017-03-31,65.99,$4.71,14.02
2016-12-31,61.03,$3.78,16.14
2016-09-30,56.4,$3.66,15.39
2016-06-30,49.74,$3.50,14.21
2016-03-31,53.93,$3.04,17.74
2015-12-31,56.27,$3.52,15.97
2015-09-30,52.16,$3.28,15.91
2015-06-30,56.0,$3.71,15.11
2015-03-31,62.38,$3.39,18.38
2014-12-31,54.87,$3.55,15.46
2014-09-30,47.74,$3.78,12.62
2014-06-30,53.15,$3.22,16.51
2014-03-31,51.49,$3.53,14.59
2013-12-31,47.13,$3.54,13.3
2013-09-30,44.07,$3.54,12.45
2013-06-30,38.57,$3.86,9.99
2013-03-31,35.31,$3.65,9.68
2012-12-31,31.1,$3.78,8.23
2012-09-30,28.32,$3.34,8.47
2012-06-30,26.41,$2.97,8.88
2012-03-31,30.22,$2.84,10.63
2011-12-31,25.21,$2.96,8.52
2011-09-30,22.89,$2.87,7.99
2011-06-30,29.73,$2.66,11.16
2011-03-31,28.03,$2.51,11.16
2010-12-31,28.37,$2.42,11.71
2010-09-30,23.3,$2.88,8.1
2010-06-30,20.12,$3.17,6.34
2010-03-31,21.66,$3.12,6.93
2009-12-31,19.23,$2.76,6.96
