Kroger Price to Free Cash Flow Ratio Historical Data,Kroger Price to Free Cash Flow Ratio Historical Data,Kroger Price to Free Cash Flow Ratio Historical Data,Kroger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,53.21,,16.06
2024-04-30,54.76,$3.31,16.52
2024-01-31,45.34,$4.12,11.01
2023-10-31,44.29,$3.31,13.38
2023-07-31,47.2,$4.11,11.48
2023-04-30,46.94,$4.20,11.17
2023-01-31,42.82,$2.06,20.78
2022-10-31,45.13,$2.65,17.06
2022-07-31,44.07,$3.84,11.47
2022-04-30,51.01,$3.55,14.36
2022-01-31,41.02,$4.95,8.29
2021-10-31,37.47,$4.11,9.12
2021-07-31,37.92,$2.58,14.69
2021-04-30,33.88,$2.62,12.92
2021-01-31,31.82,$5.27,6.04
2020-10-31,29.54,$4.88,6.05
2020-07-31,31.74,$5.05,6.28
2020-04-30,28.7,$4.95,5.8
2020-01-31,24.25,$2.25,10.79
2019-10-31,22.12,$2.05,10.79
2019-07-31,18.99,$1.70,11.2
2019-04-30,23.01,$1.45,15.85
2019-01-31,25.17,$1.57,16.06
2018-10-31,26.31,$1.58,16.63
2018-07-31,25.13,$1.01,24.87
2018-04-30,21.72,$1.08,20.17
2018-01-31,26.06,$0.82,31.75
2017-10-31,17.67,$1.33,13.33
2017-07-31,20.82,$1.70,12.24
2017-04-30,25.08,$1.34,18.7
2017-01-31,28.62,$0.74,38.89
2016-10-31,26.01,$0.84,30.9
2016-07-31,28.6,$1.59,17.99
2016-04-30,29.52,$1.31,22.49
2016-01-31,32.28,$0.29,112.81
2015-10-31,31.35,$0.09,349.47
2015-07-31,32.45,$0.17,189.22
2015-01-31,28.41,$1.43,19.85
2014-10-31,22.85,$1.48,15.45
2014-07-31,20.02,$1.06,18.97
2014-04-30,18.75,$1.27,14.79
2014-01-31,14.64,$1.22,12.01
2013-10-31,17.3,$1.19,14.53
2013-07-31,15.8,$1.34,11.81
2013-04-30,13.77,$0.95,14.54
2013-01-31,11.04,$0.88,12.6
2012-10-31,9.99,$1.47,6.79
2012-07-31,8.74,$1.46,5.98
2015-04-30,28.42,$1.20,23.63
2012-04-30,9.12,$0.78,11.65
2012-01-31,9.27,$0.68,13.56
2011-10-31,9.0,$1.17,7.68
2011-07-31,9.61,$1.16,8.3
2011-04-30,9.36,$0.97,9.61
2011-01-31,8.2,$1.18,6.96
2010-10-31,8.39,$0.92,9.12
2010-07-31,8.04,$0.84,9.59
2010-04-30,8.4,$0.78,10.77
2010-01-31,8.06,$0.50,16.25
2009-10-31,8.67,$1.09,7.96
